Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_frankengun_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_med_01.LN.85.44100.all
wpn_frankengun_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_med_02.LN.85.44100.all
wpn_frankengun_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_med_03.LN.85.44100.all
wpn_frankengun_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_med_04.LN.85.44100.all
wpn_frankengun_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_med_05.LN.85.44100.all
wpn_frankengun_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_med_06.LN.85.44100.all
wpn_frankengun_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_med_07.LN.85.44100.all
wpn_frankengun_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_med_08.LN.85.44100.all
wpn_frankengun_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_med_09.LN.85.44100.all
wpn_frankengun_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_med_10.LN.85.44100.all
wpn_frankengun_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_med_11.LN.85.44100.all
wpn_frankengun_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_med_12.LN.85.44100.all
wpn_frankengun_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_med_13.LN.85.44100.all
wpn_frankengun_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_01.LN.75.44100.all
wpn_frankengun_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_02.LN.75.44100.all
wpn_frankengun_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_03.LN.75.44100.all
wpn_frankengun_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_04.LN.75.44100.all
wpn_frankengun_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_05.LN.75.44100.all
wpn_frankengun_fire_npc_far,wpn_mgolf42_fire_npc_tail_far,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_far_01.LN.75.44100.all
wpn_frankengun_fire_npc_far,wpn_mgolf42_fire_npc_tail_far,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_far_02.LN.75.44100.all
wpn_frankengun_fire_npc_far,wpn_mgolf42_fire_npc_tail_far,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_far_03.LN.75.44100.all
wpn_frankengun_fire_npc_far,wpn_mgolf42_fire_npc_tail_far,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_far_04.LN.75.44100.all
wpn_frankengun_fire_npc_far,wpn_mgolf42_fire_npc_tail_far,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_far_05.LN.75.44100.all
