Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_mgolf42_406_fire_plr,wpn_mgolf42_406_fire_plr_accent,s4\mp\live_season\lasers\wpn_laser_shot_main_01.HN.85.44100.all
wpn_mgolf42_406_fire_plr_accent,,s4\mp\live_season\lasers\wpn_laser_shot_accent_01.HN.85.44100.all
wpn_mgolf42_406_fire_plr_tail,,s4\mp\live_season\lasers\wpn_laser_shot_tail_ext_01.LN.85.44100.all
wpn_mgolf42_406_fire_plr_tail,,s4\mp\live_season\lasers\wpn_laser_shot_tail_int_01.LN.85.44100.all
wpn_mgolf42_406_sup_fire_plr,wpn_mgolf42_406_sup_fire_plr_accent,s4\mp\live_season\lasers\wpn_laser_shot_main_01.HN.85.48000.all
wpn_mgolf42_406_sup_fire_plr_accent,,s4\mp\live_season\lasers\wpn_laser_shot_accent_01.HN.85.48000.all
wpn_mgolf42_406_sup_fire_plr_tail,,s4\mp\live_season\lasers\wpn_laser_shot_tail_ext_01.LN.85.48000.all
wpn_mgolf42_406_sup_fire_plr_tail,,s4\mp\live_season\lasers\wpn_laser_shot_tail_int_01.LN.85.48000.all
wpn_mgolf42_plr_reload_beltin_empty,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_beltin_empty.LN.75.44100.all
wpn_mgolf42_plr_reload_beltin_empty_fast,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_beltin_empty_fast.LN.75.44100.all
wpn_mgolf42_plr_reload_beltin_tac,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_beltin_tac.LN.75.44100.all
wpn_mgolf42_plr_reload_beltin_tac_fast,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_beltin_tac_fast.LN.75.44100.all
wpn_mgolf42_plr_reload_beltout_tac,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_beltout_tac.LN.75.44100.all
wpn_mgolf42_plr_reload_beltout_tac_fast,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_beltout_tac_fast.LN.75.44100.all
wpn_mgolf42_plr_reload_charge_empty,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_charge_empty.LN.75.44100.all
wpn_mgolf42_plr_reload_charge_empty_fast,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_charge_empty_fast.LN.75.44100.all
wpn_mgolf42_plr_reload_close_empty,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_close_empty.LN.75.44100.all
wpn_mgolf42_plr_reload_close_empty_fast,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_close_empty_fast.LN.75.44100.all
wpn_mgolf42_plr_reload_close_tac,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_close_tac.LN.75.44100.all
wpn_mgolf42_plr_reload_close_tac_fast,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_close_tac_fast.LN.75.44100.all
wpn_mgolf42_plr_reload_magin_empty,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_magin_empty.LN.75.44100.all
wpn_mgolf42_plr_reload_magin_tac,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_magin_tac.LN.75.44100.all
wpn_mgolf42_plr_reload_magout_empty,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_magout_empty.LN.75.44100.all
wpn_mgolf42_plr_reload_magout_tac,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_magout_tac.LN.75.44100.all
wpn_mgolf42_plr_reload_open_empty,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_open_empty.LN.75.44100.all
wpn_mgolf42_plr_reload_open_empty_fast,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_open_empty_fast.LN.75.44100.all
wpn_mgolf42_plr_reload_open_tac,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_open_tac.LN.75.44100.all
wpn_mgolf42_plr_reload_open_tac_fast,,s4\weapons\mgolf42\wpn_mgolf42_plr_reload_open_tac_fast.LN.75.44100.all
