Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_mgolf42_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_med_01.LN.85.44100.all
wpn_mgolf42_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_med_02.LN.85.44100.all
wpn_mgolf42_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_med_03.LN.85.44100.all
wpn_mgolf42_fire_npc,,s4\weapons\mgolf42\wpn_mgolf42_npc_med_04.LN.85.44100.all
wpn_mgolf42_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_01.LN.75.44100.all
wpn_mgolf42_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_02.LN.75.44100.all
wpn_mgolf42_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_03.LN.75.44100.all
wpn_mgolf42_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_04.LN.75.44100.all
wpn_mgolf42_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_05.LN.75.44100.all
wpn_mgolf42_fire_npc_far,,s4\weapons\mgolf42\wpn_mgolf42_npc_med_01.LN.75.44100.all
wpn_mgolf42_fire_npc_far,,s4\weapons\mgolf42\wpn_mgolf42_npc_med_02.LN.75.44100.all
wpn_mgolf42_fire_npc_far,,s4\weapons\mgolf42\wpn_mgolf42_npc_med_03.LN.75.44100.all
wpn_mgolf42_fire_npc_far,,s4\weapons\mgolf42\wpn_mgolf42_npc_med_04.LN.75.44100.all
wpn_mgolf42_fire_npc_med,,s4\weapons\mgolf42\wpn_mgolf42_npc_med_01.LN.85.44100.all
wpn_mgolf42_fire_npc_med,,s4\weapons\mgolf42\wpn_mgolf42_npc_med_02.LN.85.44100.all
wpn_mgolf42_fire_npc_med,,s4\weapons\mgolf42\wpn_mgolf42_npc_med_03.LN.85.44100.all
wpn_mgolf42_fire_npc_med,,s4\weapons\mgolf42\wpn_mgolf42_npc_med_04.LN.85.44100.all
wpn_mgolf42_fire_npc_med_tail,,s4\weapons\mgolf42\wpn_mgolf42_npc_shot_tail_01.LN.85.44100.all
wpn_mgolf42_fire_npc_med_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_01.LN.75.44100.all
wpn_mgolf42_fire_npc_med_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_02.LN.75.44100.all
wpn_mgolf42_fire_npc_med_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_03.LN.75.44100.all
wpn_mgolf42_fire_npc_tail,,
wpn_mgolf42_fire_npc_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_01.LN.75.44100.all
wpn_mgolf42_fire_npc_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_02.LN.75.44100.all
wpn_mgolf42_fire_npc_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_03.LN.75.44100.all
wpn_mgolf42_fire_npc_tail_far,,
