Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_fnovember2000_inspect_01,,s4\weapons\fnovember2000\wpn_s4_ar_fnov2000_inspect_01.LN.75.44100.all
wpn_fnovember2000_inspect_02,,s4\weapons\fnovember2000\wpn_s4_ar_fnov2000_inspect_02.LN.75.44100.all
wpn_fnovember2000_inspect_03,,s4\weapons\fnovember2000\wpn_s4_ar_fnov2000_inspect_03.LN.75.44100.all
wpn_fnovember2000_inspect_04,,s4\weapons\fnovember2000\wpn_s4_ar_fnov2000_inspect_04.LN.75.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_01.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_02.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_03.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_04.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_05.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_06.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_07.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_08.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_09.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_10.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_11.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_12.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_13.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_14.HN.85.44100.all
wpn_sindia510_fire_plr,wpn_sindia510_fire_plr_mech,s4\weapons\sindia510\wpn_sindia510_plr_shot_15.HN.85.44100.all
