Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_01.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_02.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_03.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_04.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_05.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_06.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_07.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_08.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_09.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_10.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_11.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_12.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_13.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_14.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_15.LN.85.44100.all
wpn_sindia510_fire_npc,,s4\weapons\tyankee11\wpn_tyankee11_npc_shot_close_16.LN.85.44100.all
wpn_sindia510_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_01.LN.75.44100.all
wpn_sindia510_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_02.LN.75.44100.all
wpn_sindia510_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_03.LN.75.44100.all
wpn_sindia510_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_04.LN.75.44100.all
wpn_sindia510_fire_npc_dist,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_05.LN.75.44100.all
wpn_sindia510_fire_npc_far,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_01.LN.75.44100.all
wpn_sindia510_fire_npc_far,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_02.LN.75.44100.all
wpn_sindia510_fire_npc_far,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_03.LN.75.44100.all
wpn_sindia510_fire_npc_far,,s4\weapons\distant\lmg\wpn_lmg_1_npc_dist_04.LN.75.44100.all
