Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_tyankee11_451_plr_fire,,s4\mp\live_season\wpn_anime_gun_shot_01.LN.85.48000.all
wpn_tyankee11_451_plr_fire,,s4\mp\live_season\wpn_anime_gun_shot_02.LN.85.48000.all
wpn_tyankee11_451_plr_fire,,s4\mp\live_season\wpn_anime_gun_shot_03.LN.85.48000.all
wpn_tyankee11_451_plr_fire,,s4\mp\live_season\wpn_anime_gun_shot_04.LN.85.48000.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_01.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_02.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_03.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_04.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_05.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_06.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_07.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_08.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_09.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_10.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_11.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_12.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_13.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_14.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_15.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_16.HN.85.44100.all
wpn_tyankee11_fire_plr,wpn_tyankee11_fire_plr_mech,s4\weapons\tyankee11\wpn_tyankee11_plr_shot_17.HN.85.44100.all
