Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
weap_s4_icepick_inspect_01,,s4\weapons\melee\weapon\icepick\weap_s4_icepick_inspect_01.LN.75.36000.all
weap_s4_icepick_inspect_02,,s4\weapons\melee\weapon\icepick\weap_s4_icepick_inspect_02.LN.75.36000.all
weap_s4_icepick_inspect_03,,s4\weapons\melee\weapon\icepick\weap_s4_icepick_inspect_03.LN.75.36000.all
weap_s4_icepick_inspect_04,,s4\weapons\melee\weapon\icepick\weap_s4_icepick_inspect_04.LN.75.36000.all
weap_s4_icepick_inspect_05,,s4\weapons\melee\weapon\icepick\weap_s4_icepick_inspect_05.LN.75.36000.all
weap_s4_icepick_inspect_06,,s4\weapons\melee\weapon\icepick\weap_s4_icepick_inspect_06.LN.75.36000.all
weap_s4_icepick_plr,,s4\weapons\melee\weapon\icepick\wpn_me_icepick_throw_01.LN.75.48000.all
weap_s4_icepick_plr,,s4\weapons\melee\weapon\icepick\wpn_me_icepick_throw_02.LN.75.48000.all
weap_s4_icepick_plr,,s4\weapons\melee\weapon\icepick\wpn_me_icepick_throw_03.LN.75.48000.all
weap_s4_icepick_plr,,s4\weapons\melee\weapon\icepick\wpn_me_icepick_throw_04.LN.75.48000.all
weap_s4_icepick_pullout_plr,,weapons\melee\throwing_knife\weap_throwing_knife_prepare_01.LN.75.48000.all
weap_s4_icepick_pullout_plr,,weapons\melee\throwing_knife\weap_throwing_knife_prepare_02.LN.75.48000.all
