Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
gib_ken,,s4\mp\live_season\s4_ammo_stone_death_01.LN.75.48000.all
gib_ken,,s4\mp\live_season\s4_ammo_stone_death_02.LN.75.48000.all
gib_ken,,s4\mp\live_season\s4_ammo_stone_death_03.LN.75.48000.all
gib_ken,,s4\mp\live_season\s4_ammo_stone_death_04.LN.75.48000.all
s4_amunition_ashes_death,s4_amunition_ashes_death_plr,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_02.LN.85.48000.all
s4_amunition_ashes_death,s4_amunition_ashes_death_plr,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_03.LN.85.48000.all
s4_amunition_ashes_death,s4_amunition_ashes_death_plr,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_01.LN.85.48000.all
s4_amunition_ashes_death_plr,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_plr_02.LN.85.48000.all
s4_amunition_ashes_death_plr,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_plr_03.LN.85.48000.all
s4_amunition_ashes_death_plr,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_death_plr_01.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_02.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_03.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_04.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_05.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_06.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_07.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_08.LN.85.48000.all
s4_amunition_ashes_impact,,s4\mp\live_season\ashes_to_ashes\s4_amunition_ashes_impact_01.LN.85.48000.all
wpn_aromeo99_npc_fire,,s4\weapons\aromeo99\wpn_aromeo99_npc_shot_close_01.LN.85.48000.all
wpn_aromeo99_npc_fire,,s4\weapons\aromeo99\wpn_aromeo99_npc_shot_close_02.LN.85.48000.all
wpn_aromeo99_npc_fire,,s4\weapons\aromeo99\wpn_aromeo99_npc_shot_close_03.LN.85.48000.all
wpn_aromeo99_npc_fire,,s4\weapons\aromeo99\wpn_aromeo99_npc_shot_close_04.LN.85.48000.all
wpn_aromeo99_npc_fire,,s4\weapons\aromeo99\wpn_aromeo99_npc_shot_close_05.LN.85.48000.all
wpn_aromeo99_npc_fire,,s4\weapons\aromeo99\wpn_aromeo99_npc_shot_close_06.LN.85.48000.all
wpn_aromeo99_npc_fire_dist,,s4\weapons\aromeo99\wpn_aromeo99_npc_shot_dist_01.LN.75.44100.all
