Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_lecho_plr_fire,wpn_lecho_plr_fire_low,s4\weapons\lecho\wpn_mr_lecho_shot_main_01.HN.85.44100.all
wpn_lecho_plr_fire,wpn_lecho_plr_fire_low,s4\weapons\lecho\wpn_mr_lecho_shot_main_01.HN.85.44100.all
wpn_lecho_plr_fire_low,,s4\weapons\kalpha98\wpn_kilo98_plr_shot_low.HN.100.44100.all
wpn_lecho_plr_fire_low,,s4\weapons\kalpha98\wpn_kilo98_plr_shot_low.HN.100.44100.all
wpn_lecho_plr_fire_mech,wpn_kalpha98_plr_fire_low,s4\weapons\kalpha98\wpn_kilo98_plr_shot_mech.HN.85.44100.all
wpn_lecho_plr_fire_mech,wpn_kalpha98_plr_fire_low,s4\weapons\kalpha98\wpn_kilo98_plr_shot_mech.HN.85.44100.all
wpn_lecho_plr_fire_tail,,s4\weapons\tails\wpn_mk_plr_tail_ext_c_01.LN.85.44100.all
wpn_lecho_plr_fire_tail,,s4\weapons\tails\wpn_mk_plr_tail_ext_c_02.LN.85.44100.all
wpn_lecho_plr_fire_tail,,s4\weapons\tails\wpn_mk_plr_tail_ext_c_03.LN.85.44100.all
wpn_lecho_plr_fire_tail,,s4\weapons\tails\wpn_mk_plr_shot_tail_int_01.LN.85.44100.all
wpn_lecho_plr_fire_tail,,s4\weapons\tails\wpn_mk_plr_shot_tail_int_02.LN.85.44100.all
wpn_lecho_plr_fire_tail,,s4\weapons\tails\wpn_mk_plr_shot_tail_int_03.LN.85.44100.all
wpn_lecho_plr_fire_trigger,,zeus\weapons\dragunov\wpn_dromeo_plr_trigger_02.LN.85.48000.all
wpn_lecho_plr_fire_trigger,,zeus\weapons\dragunov\wpn_dromeo_plr_trigger_02.LN.85.48000.all
wpn_lecho_plr_reload_clipin_empty,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_clipin_empty.LN.75.44100.all
wpn_lecho_plr_reload_clipin_tac1,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_clipin_tac1.LN.75.44100.all
wpn_lecho_plr_reload_clipin_tac2,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_clipin_tac2.LN.75.44100.all
wpn_lecho_plr_reload_clipin_tac3,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_clipin_tac3.LN.75.44100.all
wpn_lecho_plr_reload_clipin_tac4,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_clipin_tac4.LN.75.44100.all
wpn_lecho_plr_reload_close_empty,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_close_empty.LN.75.44100.all
wpn_lecho_plr_reload_close_noclip,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_close_noclip.LN.75.44100.all
wpn_lecho_plr_reload_close_tac1,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_close_tac1.LN.75.44100.all
wpn_lecho_plr_reload_close_tac2,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_close_tac2.LN.75.44100.all
wpn_lecho_plr_reload_close_tac3,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_close_tac3.LN.75.44100.all
wpn_lecho_plr_reload_close_tac4,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_close_tac4.LN.75.44100.all
wpn_lecho_plr_reload_cycle,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_cycle.LN.75.44100.all
wpn_lecho_plr_reload_open_empty,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_open_empty.LN.75.44100.all
wpn_lecho_plr_reload_open_noclip,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_open_noclip.LN.75.44100.all
wpn_lecho_plr_reload_open_tac1,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_open_tac1.LN.75.44100.all
wpn_lecho_plr_reload_open_tac2,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_open_tac2.LN.75.44100.all
wpn_lecho_plr_reload_open_tac3,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_open_tac3.LN.75.44100.all
wpn_lecho_plr_reload_open_tac4,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_open_tac4.LN.75.44100.all
wpn_lecho_plr_reload_roundin_noclip,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_roundin_noclip_01.LN.75.44100.all
wpn_lecho_plr_reload_roundin_noclip,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_roundin_noclip_02.LN.75.44100.all
wpn_lecho_plr_reload_roundin_noclip,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_roundin_noclip_03.LN.75.44100.all
wpn_lecho_plr_reload_roundin_noclip,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_roundin_noclip_04.LN.75.44100.all
wpn_lecho_plr_reload_roundin_noclip,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_roundin_noclip_05.LN.75.44100.all
wpn_lecho_plr_reload_roundin_noclip,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_roundin_noclip_06.LN.75.44100.all
wpn_lecho_plr_reload_roundin_noclip,,s4\weapons\kalpha98\wpn_kalpha98_plr_reload_roundin_noclip_07.LN.75.44100.all
