Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_lecho_npc_fire,,s4\weapons\lecho\wpn_mr_lecho_npc_shot_close_01.LN.85.48000.all
wpn_lecho_npc_fire,,s4\weapons\lecho\wpn_mr_lecho_npc_shot_close_02.LN.85.48000.all
wpn_lecho_npc_fire,,s4\weapons\lecho\wpn_mr_lecho_npc_shot_close_03.LN.85.48000.all
wpn_lecho_npc_fire_dist,,s4\weapons\kalpha98\wpn_kalpha98_npc_shot_dist_01.LN.75.44100.all
wpn_lecho_npc_fire_dist,,s4\weapons\kalpha98\wpn_kalpha98_npc_shot_dist_02.LN.75.44100.all
wpn_lecho_npc_fire_dist,,s4\weapons\kalpha98\wpn_kalpha98_npc_shot_dist_03.LN.75.44100.all
wpn_lecho_npc_fire_far,,s4\weapons\distant\mk\wpn_mk_2_npc_dist_01.LN.75.44100.all
wpn_lecho_npc_fire_far,,s4\weapons\distant\mk\wpn_mk_2_npc_dist_02.LN.75.44100.all
wpn_lecho_npc_fire_far,,s4\weapons\distant\mk\wpn_mk_2_npc_dist_03.LN.75.44100.all
wpn_lecho_npc_fire_far,,s4\weapons\distant\mk\wpn_mk_2_npc_dist_04.LN.75.44100.all
wpn_lecho_npc_fire_far,,s4\weapons\distant\mk\wpn_mk_2_npc_dist_05.LN.75.44100.all
wpn_lecho_npc_fire_med,,s4\weapons\lecho\wpn_mr_lecho_npc_shot_med_01.LN.75.44100.all
wpn_lecho_npc_fire_med,,s4\weapons\lecho\wpn_mr_lecho_npc_shot_med_02.LN.75.44100.all
wpn_lecho_npc_fire_med_tail,,s4\weapons\tails\wpn_mk_npc_shot_tail_ext_01.LN.85.44100.all
wpn_lecho_npc_fire_med_tail,,s4\weapons\tails\wpn_mk_npc_shot_tail_int_01.LN.85.44100.all
wpn_lecho_npc_fire_med_tail,,s4\weapons\tails\wpn_mk_npc_shot_tail_int_02.LN.85.44100.all
wpn_lecho_npc_fire_med_tail,,s4\weapons\tails\wpn_mk_npc_shot_tail_int_03.LN.85.44100.all
wpn_lecho_npc_fire_tail,,s4\weapons\tails\wpn_mk_npc_shot_tail_ext_01.LN.85.44100.all
wpn_lecho_npc_fire_tail,,s4\weapons\tails\wpn_mk_npc_shot_tail_int_01.LN.85.44100.all
wpn_lecho_npc_fire_tail,,s4\weapons\tails\wpn_mk_npc_shot_tail_int_02.LN.85.44100.all
wpn_lecho_npc_fire_tail,,s4\weapons\tails\wpn_mk_npc_shot_tail_int_03.LN.85.44100.all
wpn_lecho_npc_fire_tail,,s4\weapons\tails\wpn_mk_npc_shot_tail_int_04.LN.85.44100.all
wpn_lecho_npc_fire_tail,,s4\weapons\tails\wpn_mk_npc_shot_tail_int_05.LN.85.44100.all
