Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_m1golf_plr_fire,wpn_m1golf_plr_fire_mech,s4\weapons\m1golf\wpn_m1golf_plr_shot_main_01.LN.85.44100.all
wpn_m1golf_plr_fire,wpn_m1golf_plr_fire_mech,s4\weapons\m1golf\wpn_m1golf_plr_shot_main_02.LN.85.44100.all
wpn_m1golf_plr_fire,wpn_m1golf_plr_fire_mech,s4\weapons\m1golf\wpn_m1golf_plr_shot_main_03.LN.85.44100.all
wpn_m1golf_plr_fire,wpn_m1golf_plr_fire_mech,s4\weapons\m1golf\wpn_m1golf_plr_shot_main_04.LN.85.44100.all
wpn_m1golf_plr_fire,wpn_m1golf_plr_fire_mech,s4\weapons\m1golf\wpn_m1golf_plr_shot_main_05.LN.85.44100.all
wpn_m1golf_plr_fire,wpn_m1golf_plr_fire_mech,s4\weapons\m1golf\wpn_m1golf_plr_shot_main_01.LN.85.44100.all
wpn_m1golf_plr_fire,wpn_m1golf_plr_fire_mech,s4\weapons\m1golf\wpn_m1golf_plr_shot_main_02.LN.85.44100.all
wpn_m1golf_plr_fire,wpn_m1golf_plr_fire_mech,s4\weapons\m1golf\wpn_m1golf_plr_shot_main_03.LN.85.44100.all
wpn_m1golf_plr_fire,wpn_m1golf_plr_fire_mech,s4\weapons\m1golf\wpn_m1golf_plr_shot_main_04.LN.85.44100.all
wpn_m1golf_plr_fire,wpn_m1golf_plr_fire_mech,s4\weapons\m1golf\wpn_m1golf_plr_shot_main_05.LN.85.44100.all
wpn_m1golf_plr_fire_last_shot_ping,wpn_m1golf_plr_fire,s4\weapons\m1golf\wpn_m1golf_plr_last_shot_ping_01.HN.85.44100.all
wpn_m1golf_plr_fire_last_shot_ping,wpn_m1golf_plr_fire,s4\weapons\m1golf\wpn_m1golf_plr_last_shot_ping_02.HN.85.44100.all
wpn_m1golf_plr_fire_last_shot_ping,wpn_m1golf_plr_fire,s4\weapons\m1golf\wpn_m1golf_plr_last_shot_ping_03.HN.85.44100.all
wpn_m1golf_plr_fire_last_shot_ping,wpn_m1golf_plr_fire,s4\weapons\m1golf\wpn_m1golf_plr_last_shot_ping_04.HN.85.44100.all
wpn_m1golf_plr_fire_last_shot_ping,wpn_m1golf_plr_fire,s4\weapons\m1golf\wpn_m1golf_plr_last_shot_ping_05.HN.85.44100.all
wpn_m1golf_plr_fire_last_shot_ping,wpn_m1golf_plr_fire,s4\weapons\m1golf\wpn_m1golf_plr_last_shot_ping_01.HN.85.44100.all
wpn_m1golf_plr_fire_last_shot_ping,wpn_m1golf_plr_fire,s4\weapons\m1golf\wpn_m1golf_plr_last_shot_ping_02.HN.85.44100.all
