Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_luniform_fire1_accent_last_plr,wpn_luniform_fire1_chamber_last_plr,s4\weapons\luniform\wpn_luniform_plr_shot_accent_01.LN.85.44100.all
wpn_luniform_fire1_bang_last_plr,wpn_luniform_fire1_mech_last_plr,s4\weapons\luniform\wpn_luniform_plr_last_shot_main_01.HN.85.48000.all
wpn_luniform_fire1_bang_plr,wpn_luniform_fire1_plr_mech,s4\weapons\luniform\wpn_luniform_plr_shot_main_01.HN.85.48000.all
wpn_luniform_fire1_bang_plr,wpn_luniform_fire1_plr_mech,s4\weapons\luniform\wpn_luniform_plr_shot_main_02.HN.85.48000.all
wpn_luniform_fire1_bang_plr,wpn_luniform_fire1_plr_mech,s4\weapons\luniform\wpn_luniform_plr_shot_main_03.HN.85.48000.all
wpn_luniform_fire1_bang_plr,wpn_luniform_fire1_plr_mech,s4\weapons\luniform\wpn_luniform_plr_shot_main_04.HN.85.48000.all
wpn_luniform_fire1_bang_plr,wpn_luniform_fire1_plr_mech,s4\weapons\luniform\wpn_luniform_plr_shot_main_05.HN.85.48000.all
wpn_luniform_fire1_chamber_last_plr,,s4\weapons\luniform\wpn_luniform_plr_last_shot_chamber_01.LN.85.44100.all
wpn_luniform_fire1_low_last_plr,wpn_luniform_fire1_accent_last_plr,s4\weapons\luniform\wpn_luniform_plr_last_shot_low_01.HN.100.48000.all
wpn_luniform_fire1_mech_last_plr,wpn_luniform_fire1_low_last_plr,s4\weapons\luniform\wpn_luniform_plr_last_shot_mech_01.HN.85.48000.all
wpn_luniform_fire1_plr,wpn_luniform_fire1_bang_plr,s4\weapons\luniform\wpn_luniform_plr_shot_accent_01.LN.85.44100.all
wpn_luniform_fire1_plr,wpn_luniform_fire1_bang_plr,s4\weapons\luniform\wpn_luniform_plr_shot_accent_02.LN.85.44100.all
wpn_luniform_fire1_plr,wpn_luniform_fire1_bang_plr,s4\weapons\luniform\wpn_luniform_plr_shot_accent_03.LN.85.44100.all
wpn_luniform_fire1_plr,wpn_luniform_fire1_bang_plr,s4\weapons\luniform\wpn_luniform_plr_shot_accent_04.LN.85.44100.all
wpn_luniform_fire1_plr,wpn_luniform_fire1_bang_plr,s4\weapons\luniform\wpn_luniform_plr_shot_accent_05.LN.85.44100.all
wpn_luniform_fire1_plr_atmo,,s4\weapons\luniform\wpn_luniform_plr_tail_01.LN.85.48000.all
wpn_luniform_fire1_plr_atmo,,s4\weapons\luniform\wpn_luniform_plr_tail_02.LN.85.48000.all
wpn_luniform_fire1_plr_atmo,,s4\weapons\luniform\wpn_luniform_plr_tail_03.LN.85.48000.all
wpn_luniform_fire1_plr_atmo,,s4\weapons\luniform\wpn_luniform_plr_tail_04.LN.85.48000.all
