Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_malpha96_fire1_plr,wpn_malpha96_fire1_plr_mech,s4\weapons\malpha96\wpn_malpha96_plr_shot_main_01.HN.85.48000.all
wpn_malpha96_fire1_plr,wpn_malpha96_fire1_plr_mech,s4\weapons\malpha96\wpn_malpha96_plr_shot_main_02.HN.85.48000.all
wpn_malpha96_fire1_plr,wpn_malpha96_fire1_plr_mech,s4\weapons\malpha96\wpn_malpha96_plr_shot_main_03.HN.85.48000.all
wpn_malpha96_fire1_plr,wpn_malpha96_fire1_plr_mech,s4\weapons\malpha96\wpn_malpha96_plr_shot_main_04.HN.85.48000.all
wpn_malpha96_fire1_plr,wpn_malpha96_fire1_plr_mech,s4\weapons\malpha96\wpn_malpha96_plr_shot_main_05.HN.85.48000.all
wpn_malpha96_fire1_plr,wpn_malpha96_fire1_plr_mech,s4\weapons\malpha96\wpn_malpha96_plr_shot_main_06.HN.85.48000.all
wpn_malpha96_fire1_plr,wpn_malpha96_fire1_plr_mech,s4\weapons\malpha96\wpn_malpha96_plr_shot_main_07.HN.85.48000.all
wpn_malpha96_fire1_plr,wpn_malpha96_fire1_plr_mech,s4\weapons\malpha96\wpn_malpha96_plr_shot_main_08.HN.85.48000.all
wpn_malpha96_fire1_plr_atmo,,s4\weapons\malpha96\wpn_malpha96_plr_tail_05.LN.85.48000.all
wpn_malpha96_fire1_plr_atmo,,s4\weapons\malpha96\wpn_malpha96_plr_tail_06.LN.85.48000.all
wpn_malpha96_fire1_plr_atmo,,s4\weapons\malpha96\wpn_malpha96_plr_tail_07.LN.85.48000.all
wpn_malpha96_fire1_plr_atmo,,s4\weapons\malpha96\wpn_malpha96_plr_tail_08.LN.85.48000.all
wpn_malpha96_fire1_plr_atmo,,s4\weapons\malpha96\wpn_malpha96_plr_tail_09.LN.85.48000.all
wpn_malpha96_fire1_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_01.LN.85.48000.all
wpn_malpha96_fire1_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_02.LN.85.48000.all
wpn_malpha96_fire1_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_03.LN.85.48000.all
wpn_malpha96_fire1_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_04.LN.85.48000.all
wpn_malpha96_fire1_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_05.LN.85.48000.all
wpn_malpha96_fire1_plr_atmo,,weapons\atmo\interior\pistol\weap_pistol_fire_plr_atmo_int1_06.LN.85.48000.all
