Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_01.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_02.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_03.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_04.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_05.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_06.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_07.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_08.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_09.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_10.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_11.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_12.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_13.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_14.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_15.LN.85.48000.all
wpn_malpha96_fire_npc,,s4\weapons\malpha96\wpn_malpha96_npc_shot_close_16.LN.85.48000.all
wpn_malpha96_fire_npc_dist,,s4\weapons\mike1911\wpn_mike1911_npc_shot_dist_01.LN.85.48000.all
wpn_malpha96_fire_npc_dist,,s4\weapons\mike1911\wpn_mike1911_npc_shot_dist_02.LN.85.48000.all
wpn_malpha96_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_01.LN.85.48000.all
wpn_malpha96_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_02.LN.85.48000.all
wpn_malpha96_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_03.LN.85.48000.all
wpn_malpha96_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_04.LN.85.48000.all
wpn_malpha96_fire_npc_med,wpn_malpha96_fire_npc_med_tail,s4\weapons\malpha96\wpn_malpha96_npc_shot_med_01.LN.85.48000.all
wpn_malpha96_fire_npc_med,wpn_malpha96_fire_npc_med_tail,s4\weapons\malpha96\wpn_malpha96_npc_shot_med_02.LN.85.48000.all
wpn_malpha96_fire_npc_med,wpn_malpha96_fire_npc_med_tail,s4\weapons\malpha96\wpn_malpha96_npc_shot_med_03.LN.85.48000.all
