Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_mike1911_fire_plr,wpn_mike1911_fire_plr_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_01.LN.85.44100.all
wpn_mike1911_fire_plr,wpn_mike1911_fire_plr_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_02.LN.85.44100.all
wpn_mike1911_fire_plr,wpn_mike1911_fire_plr_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_03.LN.85.44100.all
wpn_mike1911_fire_plr,wpn_mike1911_fire_plr_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_04.LN.85.44100.all
wpn_mike1911_fire_plr,wpn_mike1911_fire_plr_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_05.LN.85.44100.all
wpn_mike1911_fire_plr,wpn_mike1911_fire_plr_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_01.LN.85.44100.all
wpn_mike1911_fire_plr,wpn_mike1911_fire_plr_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_02.LN.85.44100.all
wpn_mike1911_fire_plr,wpn_mike1911_fire_plr_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_03.LN.85.44100.all
wpn_mike1911_fire_plr,wpn_mike1911_fire_plr_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_04.LN.85.44100.all
wpn_mike1911_fire_plr,wpn_mike1911_fire_plr_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_05.LN.85.44100.all
wpn_mike1911_fire_plr_last_low,,zeus\weapons\1911\wpn_pi_standard_plr_low.HN.100.48000.all
wpn_mike1911_fire_plr_last_low,,zeus\weapons\1911\wpn_pi_standard_plr_low.HN.100.48000.all
wpn_mike1911_fire_plr_last_main,wpn_mike1911_fire_plr_last_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_01.LN.85.44100.all
wpn_mike1911_fire_plr_last_main,wpn_mike1911_fire_plr_last_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_02.LN.85.44100.all
wpn_mike1911_fire_plr_last_main,wpn_mike1911_fire_plr_last_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_03.LN.85.44100.all
wpn_mike1911_fire_plr_last_main,wpn_mike1911_fire_plr_last_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_04.LN.85.44100.all
wpn_mike1911_fire_plr_last_main,wpn_mike1911_fire_plr_last_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_05.LN.85.44100.all
wpn_mike1911_fire_plr_last_main,wpn_mike1911_fire_plr_last_mech,s4\weapons\mike1911\wpn_mike1911_plr_shot_main_01.LN.85.44100.all
