Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_mike1911_fire_npc,,s4\weapons\mike1911\wpn_mike1911_npc_shot_close_01.LN.85.48000.all
wpn_mike1911_fire_npc,,s4\weapons\mike1911\wpn_mike1911_npc_shot_close_02.LN.85.48000.all
wpn_mike1911_fire_npc,,s4\weapons\mike1911\wpn_mike1911_npc_shot_close_03.LN.85.48000.all
wpn_mike1911_fire_npc,,s4\weapons\mike1911\wpn_mike1911_npc_shot_close_04.LN.85.48000.all
wpn_mike1911_fire_npc,,s4\weapons\mike1911\wpn_mike1911_npc_shot_close_05.LN.85.48000.all
wpn_mike1911_fire_npc_dist,,s4\weapons\mike1911\wpn_mike1911_npc_shot_dist_01.LN.85.48000.all
wpn_mike1911_fire_npc_dist,,s4\weapons\mike1911\wpn_mike1911_npc_shot_dist_02.LN.85.48000.all
wpn_mike1911_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_01.LN.85.48000.all
wpn_mike1911_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_02.LN.85.48000.all
wpn_mike1911_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_03.LN.85.48000.all
wpn_mike1911_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_04.LN.85.48000.all
wpn_mike1911_fire_npc_med,,s4\weapons\mike1911\wpn_mike1911_npc_shot_med_01.LN.85.48000.all
wpn_mike1911_fire_npc_med,,s4\weapons\mike1911\wpn_mike1911_npc_shot_med_02.LN.85.48000.all
wpn_mike1911_fire_npc_tail,,weapons\atmo_npc\exterior\pistol_sup\weap_pistol_sup_fire_npc_atmo_ext_cls1_01.LN.85.44100.all
wpn_mike1911_fire_npc_tail,,weapons\tails\wpn_pi_npc_shot_tail_int_01.LN.85.44100.all
wpn_mike1911_fire_npc_tail,,weapons\tails\wpn_pi_npc_shot_tail_int_02.LN.85.44100.all
wpn_mike1911_npc_reload_charge_empty,,s4\weapons\mike1911\wpn_mike1911_plr_reload_charge_empty.LN.75.44100.all
wpn_mike1911_npc_reload_charge_empty_akimbo_l,,s4\weapons\mike1911\wpn_mike1911_plr_reload_charge_empty_akimbo_l.LN.75.44100.all
wpn_mike1911_npc_reload_charge_empty_akimbo_r,,s4\weapons\mike1911\wpn_mike1911_plr_reload_charge_empty_akimbo_r.LN.75.44100.all
wpn_mike1911_npc_reload_fpo,,s4\weapons\mike1911\wpn_mike1911_plr_reload_fpo.LN.75.44100.all
wpn_mike1911_npc_reload_magin_empty,,s4\weapons\mike1911\wpn_mike1911_plr_reload_magin_empty.LN.75.44100.all
wpn_mike1911_npc_reload_magin_empty_akimbo_l,,s4\weapons\mike1911\wpn_mike1911_plr_reload_magin_empty_akimbo_l.LN.75.44100.all
wpn_mike1911_npc_reload_magin_empty_akimbo_r,,s4\weapons\mike1911\wpn_mike1911_plr_reload_magin_empty_akimbo_r.LN.75.44100.all
wpn_mike1911_npc_reload_magin_tac,,s4\weapons\mike1911\wpn_mike1911_plr_reload_magin_tac.LN.75.44100.all
wpn_mike1911_npc_reload_magin_tac_akimbo_l,,s4\weapons\mike1911\wpn_mike1911_plr_reload_magin_tac_akimbo_l.LN.75.44100.all
wpn_mike1911_npc_reload_magin_tac_akimbo_r,,s4\weapons\mike1911\wpn_mike1911_plr_reload_magin_tac_akimbo_r.LN.75.44100.all
wpn_mike1911_npc_reload_magout_empty,,s4\weapons\mike1911\wpn_mike1911_plr_reload_magout_empty.LN.75.44100.all
wpn_mike1911_npc_reload_magout_empty_akimbo_l,,s4\weapons\mike1911\wpn_mike1911_plr_reload_magout_empty_akimbo_l.LN.75.44100.all
wpn_mike1911_npc_reload_magout_empty_akimbo_r,,s4\weapons\mike1911\wpn_mike1911_plr_reload_magout_empty_akimbo_r.LN.75.44100.all
wpn_mike1911_npc_reload_magout_tac,,s4\weapons\mike1911\wpn_mike1911_plr_reload_magout_tac.LN.75.44100.all
wpn_mike1911_npc_reload_magout_tac_akimbo_l,,s4\weapons\mike1911\wpn_mike1911_plr_reload_magout_tac_akimbo_l.LN.75.44100.all
wpn_mike1911_npc_reload_magout_tac_akimbo_r,,s4\weapons\mike1911\wpn_mike1911_plr_reload_magout_tac_akimbo_r.LN.75.44100.all
wpn_mike1911_sup_npc,,zeus\weapons\mp5\wpn_mpapa5_supp_npc_close_01.LN.85.48000.all
wpn_mike1911_sup_npc,,zeus\weapons\mp5\wpn_mpapa5_supp_npc_close_02.LN.85.48000.all
wpn_mike1911_sup_npc,,zeus\weapons\mp5\wpn_mpapa5_supp_npc_close_03.LN.85.48000.all
wpn_mike1911_sup_npc,,zeus\weapons\mp5\wpn_mpapa5_supp_npc_close_04.LN.85.48000.all
wpn_mike1911_sup_npc_med,,s4\weapons\mike1911\wpn_mike1911_npc_shot_med_supp_01.LN.75.44100.all
wpn_mike1911_sup_npc_med,,s4\weapons\mike1911\wpn_mike1911_npc_shot_med_supp_02.LN.75.44100.all
wpn_mike1911_sup_npc_med,,s4\weapons\mike1911\wpn_mike1911_npc_shot_med_supp_03.LN.75.44100.all
