Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_ttango_fire1_plr,wpn_ttango_fire1_plr_mech,s4\weapons\ttango33\wpn_ttango33_plr_shot_fire_01.HN.85.48000.all
wpn_ttango_fire1_plr,wpn_ttango_fire1_plr_mech,s4\weapons\ttango33\wpn_ttango33_plr_shot_fire_02.HN.85.48000.all
wpn_ttango_fire1_plr,wpn_ttango_fire1_plr_mech,s4\weapons\ttango33\wpn_ttango33_plr_shot_fire_03.HN.85.48000.all
wpn_ttango_fire1_plr,wpn_ttango_fire1_plr_mech,s4\weapons\ttango33\wpn_ttango33_plr_shot_fire_04.HN.85.48000.all
wpn_ttango_fire1_plr,wpn_ttango_fire1_plr_mech,s4\weapons\ttango33\wpn_ttango33_plr_shot_fire_05.HN.85.48000.all
wpn_ttango_fire1_plr_accent,,s4\weapons\ttango33\wpn_ttango33_plr_shot_accent_01.HN.85.48000.all
wpn_ttango_fire1_plr_accent,,s4\weapons\ttango33\wpn_ttango33_plr_shot_accent_02.HN.85.44100.all
wpn_ttango_fire1_plr_accent,,s4\weapons\ttango33\wpn_ttango33_plr_shot_accent_03.HN.85.44100.all
wpn_ttango_fire1_plr_accent,,s4\weapons\ttango33\wpn_ttango33_plr_shot_accent_04.HN.85.44100.all
wpn_ttango_fire1_plr_accent,,s4\weapons\ttango33\wpn_ttango33_plr_shot_accent_05.HN.85.44100.all
wpn_ttango_fire1_plr_atmo,,s4\weapons\ttango33\wpn_ttango33_plr_tail_01.LN.85.48000.all
wpn_ttango_fire1_plr_atmo,,s4\weapons\ttango33\wpn_ttango33_plr_tail_02.LN.85.48000.all
wpn_ttango_fire1_plr_atmo,,s4\weapons\ttango33\wpn_ttango33_plr_tail_03.LN.85.48000.all
wpn_ttango_fire1_plr_atmo,,s4\weapons\ttango33\wpn_ttango33_plr_tail_04.LN.85.48000.all
wpn_ttango_fire1_plr_atmo,,s4\weapons\ttango33\wpn_ttango33_plr_tail_05.LN.85.48000.all
wpn_ttango_fire1_plr_atmo,,s4\weapons\ttango33\wpn_ttango33_plr_tail_01.LN.85.48000.all
wpn_ttango_fire1_plr_atmo,,s4\weapons\ttango33\wpn_ttango33_plr_tail_02.LN.85.48000.all
wpn_ttango_fire1_plr_atmo,,s4\weapons\ttango33\wpn_ttango33_plr_tail_03.LN.85.48000.all
wpn_ttango_fire1_plr_atmo,,s4\weapons\ttango33\wpn_ttango33_plr_tail_04.LN.85.48000.all
wpn_ttango_fire1_plr_atmo,,s4\weapons\ttango33\wpn_ttango33_plr_tail_05.LN.85.48000.all
wpn_ttango_fire1_plr_lfe,wpn_ttango_fire1_plr_accent,s4\weapons\ttango33\wpn_ttango33_plr_shot_low_01.HN.100.48000.all
wpn_ttango_fire1_plr_lfe,wpn_ttango_fire1_plr_accent,s4\weapons\ttango33\wpn_ttango33_plr_shot_low_02.HN.100.48000.all
wpn_ttango_fire1_plr_lfe,wpn_ttango_fire1_plr_accent,s4\weapons\ttango33\wpn_ttango33_plr_shot_low_03.HN.100.48000.all
