Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_ttango33_fire_npc,,s4\weapons\ttango33\wpn_ttango33_npc_shot_close_01.LN.85.48000.all
wpn_ttango33_fire_npc,,s4\weapons\ttango33\wpn_ttango33_npc_shot_close_02.LN.85.48000.all
wpn_ttango33_fire_npc,,s4\weapons\ttango33\wpn_ttango33_npc_shot_close_03.LN.85.48000.all
wpn_ttango33_fire_npc,,s4\weapons\ttango33\wpn_ttango33_npc_shot_close_04.LN.85.48000.all
wpn_ttango33_fire_npc,,s4\weapons\ttango33\wpn_ttango33_npc_shot_close_05.LN.85.48000.all
wpn_ttango33_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_01.LN.85.48000.all
wpn_ttango33_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_02.LN.85.48000.all
wpn_ttango33_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_03.LN.85.48000.all
wpn_ttango33_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_04.LN.85.48000.all
wpn_ttango33_fire_npc_med,,s4\weapons\ttango33\wpn_ttango33_npc_shot_med_01.LN.85.48000.all
wpn_ttango33_fire_npc_med,,s4\weapons\ttango33\wpn_ttango33_npc_shot_med_02.LN.85.48000.all
wpn_ttango33_fire_npc_med,,s4\weapons\ttango33\wpn_ttango33_npc_shot_med_03.LN.85.48000.all
wpn_ttango33_fire_npc_med,,s4\weapons\ttango33\wpn_ttango33_npc_shot_med_04.LN.85.48000.all
wpn_ttango33_fire_npc_med,,s4\weapons\ttango33\wpn_ttango33_npc_shot_med_05.LN.85.48000.all
wpn_ttango33_npc_reload_charge_empty,,s4\weapons\ttango33\wpn_ttango33_plr_reload_charge_empty.LN.75.44100.all
wpn_ttango33_npc_reload_charge_empty_ext,,s4\weapons\ttango33\wpn_ttango33_plr_reload_charge_empty_ext.LN.75.44100.all
wpn_ttango33_npc_reload_charge_empty_fast,,s4\weapons\ttango33\wpn_ttango33_plr_reload_charge_empty_fast.LN.75.44100.all
wpn_ttango33_npc_reload_fpo,,s4\weapons\ttango33\wpn_ttango33_plr_reload_fpo.LN.75.44100.all
wpn_ttango33_npc_reload_magin_empty,,s4\weapons\ttango33\wpn_ttango33_plr_reload_magin_empty.LN.75.44100.all
wpn_ttango33_npc_reload_magin_empty_ext,,s4\weapons\ttango33\wpn_ttango33_plr_reload_magin_empty_ext.LN.75.44100.all
wpn_ttango33_npc_reload_magin_empty_fast,,s4\weapons\ttango33\wpn_ttango33_plr_reload_magin_empty_fast.LN.75.44100.all
wpn_ttango33_npc_reload_magin_tac,,s4\weapons\ttango33\wpn_ttango33_plr_reload_magin_tac.LN.75.44100.all
wpn_ttango33_npc_reload_magin_tac_ext,,s4\weapons\ttango33\wpn_ttango33_plr_reload_magin_tac_ext.LN.75.44100.all
wpn_ttango33_npc_reload_magin_tac_fast,,s4\weapons\ttango33\wpn_ttango33_plr_reload_magin_tac_fast.LN.75.44100.all
wpn_ttango33_npc_reload_magout_empty,,s4\weapons\ttango33\wpn_ttango33_plr_reload_magout_empty.LN.75.44100.all
wpn_ttango33_npc_reload_magout_empty_ext,,s4\weapons\ttango33\wpn_ttango33_plr_reload_magout_empty_ext.LN.75.44100.all
wpn_ttango33_npc_reload_magout_empty_fast,,s4\weapons\ttango33\wpn_ttango33_plr_reload_magout_empty_fast.LN.75.44100.all
wpn_ttango33_npc_reload_magout_tac,,s4\weapons\ttango33\wpn_ttango33_plr_reload_magout_tac.LN.75.44100.all
wpn_ttango33_npc_reload_magout_tac_ext,,s4\weapons\ttango33\wpn_ttango33_plr_reload_magout_tac_ext.LN.75.44100.all
wpn_ttango33_npc_reload_magout_tac_fast,,s4\weapons\ttango33\wpn_ttango33_plr_reload_magout_tac_fast.LN.75.44100.all
wpn_ttango33_npc_tail,,s4\weapons\ttango33\wpn_ttango33_npc_tail_01.LN.85.44100.all
wpn_ttango33_npc_tail,,s4\weapons\ttango33\wpn_ttango33_npc_tail_02.LN.85.44100.all
wpn_ttango33_npc_tail,,s4\weapons\ttango33\wpn_ttango33_npc_tail_03.LN.85.44100.all
wpn_ttango33_npc_tail,,s4\weapons\ttango33\wpn_ttango33_npc_tail_04.LN.85.44100.all
wpn_ttango33_npc_tail,,s4\weapons\ttango33\wpn_ttango33_npc_tail_05.LN.85.44100.all
wpn_ttango33_sup_npc,,zeus\weapons\mp5\wpn_mpapa5_supp_npc_close_01.LN.85.48000.all
wpn_ttango33_sup_npc,,zeus\weapons\mp5\wpn_mpapa5_supp_npc_close_02.LN.85.48000.all
wpn_ttango33_sup_npc,,zeus\weapons\mp5\wpn_mpapa5_supp_npc_close_03.LN.85.48000.all
wpn_ttango33_sup_npc,,zeus\weapons\mp5\wpn_mpapa5_supp_npc_close_04.LN.85.48000.all
wpn_ttango33_sup_npc_med,,s4\weapons\mike1911\wpn_mike1911_npc_shot_med_supp_01.LN.75.44100.all
wpn_ttango33_sup_npc_med,,s4\weapons\mike1911\wpn_mike1911_npc_shot_med_supp_02.LN.75.44100.all
wpn_ttango33_sup_npc_med,,s4\weapons\mike1911\wpn_mike1911_npc_shot_med_supp_03.LN.75.44100.all
