Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_wecho_fire_plr,wpn_wecho_fire_plr_mech_01,s4\weapons\wecho\wpn_wecho_plr_shot_main_01.LN.85.44100.all
wpn_wecho_fire_plr,wpn_wecho_fire_plr_mech_02,s4\weapons\wecho\wpn_wecho_plr_shot_main_02.LN.85.44100.all
wpn_wecho_fire_plr,wpn_wecho_fire_plr_mech_03,s4\weapons\wecho\wpn_wecho_plr_shot_main_03.LN.85.44100.all
wpn_wecho_fire_plr,wpn_wecho_fire_plr_mech_04,s4\weapons\wecho\wpn_wecho_plr_shot_main_04.LN.85.44100.all
wpn_wecho_fire_plr,wpn_wecho_fire_plr_mech_05,s4\weapons\wecho\wpn_wecho_plr_shot_main_05.LN.85.44100.all
wpn_wecho_fire_plr,wpn_wecho_fire_plr_mech_06,s4\weapons\wecho\wpn_wecho_plr_shot_main_06.LN.85.44100.all
wpn_wecho_fire_plr,wpn_wecho_fire_plr_mech_01,s4\weapons\wecho\wpn_wecho_plr_shot_main_01.LN.85.44100.all
wpn_wecho_fire_plr,wpn_wecho_fire_plr_mech_02,s4\weapons\wecho\wpn_wecho_plr_shot_main_02.LN.85.44100.all
wpn_wecho_fire_plr,wpn_wecho_fire_plr_mech_03,s4\weapons\wecho\wpn_wecho_plr_shot_main_03.LN.85.44100.all
wpn_wecho_fire_plr,wpn_wecho_fire_plr_mech_04,s4\weapons\wecho\wpn_wecho_plr_shot_main_04.LN.85.44100.all
wpn_wecho_fire_plr,wpn_wecho_fire_plr_mech_05,s4\weapons\wecho\wpn_wecho_plr_shot_main_05.LN.85.44100.all
wpn_wecho_fire_plr,wpn_wecho_fire_plr_mech_06,s4\weapons\wecho\wpn_wecho_plr_shot_main_06.LN.85.44100.all
wpn_wecho_fire_plr_last,wpn_wecho_fire_plr_last_mech_01,s4\weapons\wecho\wpn_wecho_plr_shot_main_01.LN.85.44100.all
wpn_wecho_fire_plr_last,wpn_wecho_fire_plr_last_mech_02,s4\weapons\wecho\wpn_wecho_plr_shot_main_02.LN.85.44100.all
wpn_wecho_fire_plr_last,wpn_wecho_fire_plr_last_mech_03,s4\weapons\wecho\wpn_wecho_plr_shot_main_03.LN.85.44100.all
wpn_wecho_fire_plr_last,wpn_wecho_fire_plr_last_mech_04,s4\weapons\wecho\wpn_wecho_plr_shot_main_04.LN.85.44100.all
wpn_wecho_fire_plr_last,wpn_wecho_fire_plr_last_mech_05,s4\weapons\wecho\wpn_wecho_plr_shot_main_05.LN.85.44100.all
wpn_wecho_fire_plr_last,wpn_wecho_fire_plr_last_mech_06,s4\weapons\wecho\wpn_wecho_plr_shot_main_06.LN.85.44100.all
