Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
s4_amunition_redlaser_death,,s4\mp\live_season\red_laser\s4_amunition_redlaser_death_03.LN.85.48000.all
s4_amunition_redlaser_death,,s4\mp\live_season\red_laser\s4_amunition_redlaser_death_02.LN.85.48000.all
s4_amunition_redlaser_death,,s4\mp\live_season\red_laser\s4_amunition_redlaser_death_01.LN.85.48000.all
s4_amunition_redlaser_death_lowend,s4_amunition_redlaser_death,s4\mp\live_season\red_laser\s4_amunition_redlaser_death_lowend_02.LN.85.48000.all
s4_amunition_redlaser_death_lowend,s4_amunition_redlaser_death,s4\mp\live_season\red_laser\s4_amunition_redlaser_death_lowend_01.LN.85.48000.all
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_ar_insp_energy_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_ar_insp_energy_a.LN.75.44100.all
wpn_ar_insp_energy_b,,s4\weapons\weapon_foley\inspects_gbl\wpn_ar_insp_energy_b.LN.75.44100.all
wpn_ar_insp_lrg_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_ar_insp_lrg_a.LN.75.44100.all
wpn_ar_insp_med_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_ar_insp_med_a.LN.75.44100.all
wpn_ar_insp_shldr_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_ar_insp_shldr_a.LN.75.44100.all
wpn_fecho_plr_fireselect_off,,s4\weapons\weapon_foley\wpn_gbl_fireselect_off.LN.75.44100.all
wpn_fecho_plr_fireselect_on,,s4\weapons\weapon_foley\wpn_gbl_fireselect_on.LN.75.44100.all
wpn_fecho_plr_reload_charge_empty,,s4\weapons\fecho\wpn_fecho_plr_reload_charge_empty.LN.75.44100.all
wpn_fecho_plr_reload_charge_empty_dblext,,s4\weapons\fecho\wpn_fecho_plr_reload_charge_empty_dblext.LN.75.44100.all
wpn_fecho_plr_reload_charge_empty_ext,,s4\weapons\fecho\wpn_fecho_plr_reload_charge_empty_ext.LN.75.44100.all
wpn_fecho_plr_reload_magin_empty,,s4\weapons\fecho\wpn_fecho_plr_reload_magin_empty.LN.75.44100.all
wpn_fecho_plr_reload_magin_empty_dblext,,s4\weapons\fecho\wpn_fecho_plr_reload_magin_empty_dblext.LN.75.44100.all
wpn_fecho_plr_reload_magin_empty_ext,,s4\weapons\fecho\wpn_fecho_plr_reload_magin_empty_ext.LN.75.44100.all
wpn_fecho_plr_reload_magin_tac,,s4\weapons\fecho\wpn_fecho_plr_reload_magin_tac.LN.75.44100.all
wpn_fecho_plr_reload_magin_tac_dblext,,s4\weapons\fecho\wpn_fecho_plr_reload_magin_tac_dblext.LN.75.44100.all
wpn_fecho_plr_reload_magin_tac_ext,,s4\weapons\fecho\wpn_fecho_plr_reload_magin_tac_ext.LN.75.44100.all
