Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
s4_amunition_redlaser_death,,s4\mp\live_season\red_laser\s4_amunition_redlaser_death_03.LN.85.48000.all
s4_amunition_redlaser_death,,s4\mp\live_season\red_laser\s4_amunition_redlaser_death_02.LN.85.48000.all
s4_amunition_redlaser_death,,s4\mp\live_season\red_laser\s4_amunition_redlaser_death_01.LN.85.48000.all
s4_amunition_redlaser_death_lowend,s4_amunition_redlaser_death,s4\mp\live_season\red_laser\s4_amunition_redlaser_death_lowend_02.LN.85.48000.all
s4_amunition_redlaser_death_lowend,s4_amunition_redlaser_death,s4\mp\live_season\red_laser\s4_amunition_redlaser_death_lowend_01.LN.85.48000.all
wpn_fecho_npc_reload_charge_empty,,s4\weapons\fecho\wpn_fecho_plr_reload_charge_empty.LN.75.44100.all
wpn_fecho_npc_reload_charge_empty_dblext,,s4\weapons\fecho\wpn_fecho_plr_reload_charge_empty_dblext.LN.75.44100.all
wpn_fecho_npc_reload_charge_empty_ext,,s4\weapons\fecho\wpn_fecho_plr_reload_charge_empty_ext.LN.75.44100.all
wpn_fecho_npc_reload_fpo,,s4\weapons\fecho\wpn_fecho_plr_reload_fpo.LN.75.44100.all
wpn_fecho_npc_reload_magin_empty,,s4\weapons\fecho\wpn_fecho_plr_reload_magin_empty.LN.75.44100.all
wpn_fecho_npc_reload_magin_empty_dblext,,s4\weapons\fecho\wpn_fecho_plr_reload_magin_empty_dblext.LN.75.44100.all
wpn_fecho_npc_reload_magin_empty_ext,,s4\weapons\fecho\wpn_fecho_plr_reload_magin_empty_ext.LN.75.44100.all
wpn_fecho_npc_reload_magin_tac,,s4\weapons\fecho\wpn_fecho_plr_reload_magin_tac.LN.75.44100.all
wpn_fecho_npc_reload_magin_tac_dblext,,s4\weapons\fecho\wpn_fecho_plr_reload_magin_tac_dblext.LN.75.44100.all
wpn_fecho_npc_reload_magin_tac_ext,,s4\weapons\fecho\wpn_fecho_plr_reload_magin_tac_ext.LN.75.44100.all
wpn_fecho_npc_reload_magout_empty,,s4\weapons\fecho\wpn_fecho_plr_reload_magout_empty.LN.75.44100.all
wpn_fecho_npc_reload_magout_empty_dblext,,s4\weapons\fecho\wpn_fecho_plr_reload_magout_empty_dblext.LN.75.44100.all
wpn_fecho_npc_reload_magout_empty_ext,,s4\weapons\fecho\wpn_fecho_plr_reload_magout_empty_ext.LN.75.44100.all
wpn_fecho_npc_reload_magout_tac,,s4\weapons\fecho\wpn_fecho_plr_reload_magout_tac.LN.75.44100.all
wpn_fecho_npc_reload_magout_tac_dblext,,s4\weapons\fecho\wpn_fecho_plr_reload_magout_tac_dblext.LN.75.44100.all
wpn_fecho_npc_reload_magout_tac_ext,,s4\weapons\fecho\wpn_fecho_plr_reload_magout_tac_ext.LN.75.44100.all
wpn_red_laser_fire_npc,,s4\weapons\red_laser\wpn_red_laser_npc_shot_05.LN.85.44100.all
wpn_red_laser_fire_npc,,s4\weapons\red_laser\wpn_red_laser_npc_shot_04.LN.85.44100.all
wpn_red_laser_fire_npc,,s4\weapons\red_laser\wpn_red_laser_npc_shot_03.LN.85.44100.all
wpn_red_laser_fire_npc,,s4\weapons\red_laser\wpn_red_laser_npc_shot_02.LN.85.44100.all
wpn_red_laser_fire_npc,,s4\weapons\red_laser\wpn_red_laser_npc_shot_01.LN.85.44100.all
wpn_red_laser_fire_npc_dist,,s4\weapons\stango44\wpn_stango44_npc_shot_dist_01.LN.75.44100.all
wpn_red_laser_fire_npc_dist,,s4\weapons\stango44\wpn_stango44_npc_shot_dist_01.LN.75.44100.all
wpn_red_laser_fire_npc_dist,,s4\weapons\stango44\wpn_stango44_npc_shot_dist_03.LN.75.44100.all
wpn_red_laser_fire_npc_far,,s4\weapons\distant\dist_tails\wpn_smg_npc_far_tail_05.LN.75.44100.all
wpn_red_laser_fire_npc_far,,s4\weapons\distant\dist_tails\wpn_smg_npc_far_tail_06.LN.75.44100.all
wpn_red_laser_fire_npc_far,,s4\weapons\distant\dist_tails\wpn_smg_npc_far_tail_07.LN.75.44100.all
wpn_red_laser_fire_npc_far,,s4\weapons\distant\dist_tails\wpn_smg_npc_far_tail_01.LN.75.44100.all
wpn_red_laser_fire_npc_far,,s4\weapons\distant\dist_tails\wpn_smg_npc_far_tail_02.LN.75.44100.all
wpn_red_laser_fire_npc_far,,s4\weapons\distant\dist_tails\wpn_smg_npc_far_tail_03.LN.75.44100.all
wpn_red_laser_fire_npc_far,,s4\weapons\distant\dist_tails\wpn_smg_npc_far_tail_04.LN.75.44100.all
wpn_red_laser_fire_npc_med,,s4\weapons\mike1911\wpn_mike1911_npc_shot_med_supp_02.LN.75.44100.all
wpn_red_laser_fire_npc_med,,s4\weapons\mike1911\wpn_mike1911_npc_shot_med_supp_03.LN.75.44100.all
wpn_red_laser_fire_npc_med,,s4\weapons\mike1911\wpn_mike1911_npc_shot_med_supp_01.LN.75.44100.all
wpn_red_laser_fire_npc_tail,,s4\weapons\red_laser\wpn_red_laser_plr_tail.LN.85.44100.all
wpn_red_laser_npc_med_tail,,s4\weapons\red_laser\wpn_red_laser_plr_tail.LN.85.44100.all
