Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_fnovember2000_501_insp_01,,s4\mp\live_season\hopper\wpn_fnovember2000_501_insp_01.LN.75.44100.all
wpn_fnovember2000_501_insp_02,,s4\mp\live_season\hopper\wpn_fnovember2000_501_insp_02.LN.75.44100.all
wpn_fnovember2000_501_insp_03,,s4\mp\live_season\hopper\wpn_fnovember2000_501_insp_03.LN.75.44100.all
wpn_fnovember2000_501_insp_04,,s4\mp\live_season\hopper\wpn_fnovember2000_501_insp_04.LN.75.44100.all
wpn_fnovember2000_501_insp_05,,s4\mp\live_season\hopper\wpn_fnovember2000_501_insp_05.LN.75.44100.all
wpn_fnovember2000_501_insp_06,,s4\mp\live_season\hopper\wpn_fnovember2000_501_insp_06.LN.75.44100.all
wpn_fnovember2000_501_insp_07,,s4\mp\live_season\hopper\wpn_fnovember2000_501_insp_07.LN.75.44100.all
wpn_fnovember2000_501_insp_08,,s4\mp\live_season\hopper\wpn_fnovember2000_501_insp_08.LN.75.44100.all
wpn_fnovember2000_501_insp_09,,s4\mp\live_season\hopper\wpn_fnovember2000_501_insp_09.LN.75.44100.all
wpn_fnovember2000_fire_plr,wpn_fnovember2000_fire_plr_mech,s4\weapons\fnovember2000\wpn_fnovember2000_plr_shot_01.HN.85.44100.all
wpn_fnovember2000_fire_plr,wpn_fnovember2000_fire_plr_mech,s4\weapons\fnovember2000\wpn_fnovember2000_plr_shot_02.HN.85.44100.all
wpn_fnovember2000_fire_plr,wpn_fnovember2000_fire_plr_mech,s4\weapons\fnovember2000\wpn_fnovember2000_plr_shot_03.HN.85.44100.all
wpn_fnovember2000_fire_plr,wpn_fnovember2000_fire_plr_mech,s4\weapons\fnovember2000\wpn_fnovember2000_plr_shot_04.HN.85.44100.all
wpn_fnovember2000_fire_plr,wpn_fnovember2000_fire_plr_mech,s4\weapons\fnovember2000\wpn_fnovember2000_plr_shot_05.HN.85.44100.all
wpn_fnovember2000_fire_plr,wpn_fnovember2000_fire_plr_mech,s4\weapons\fnovember2000\wpn_fnovember2000_plr_shot_06.HN.85.44100.all
wpn_fnovember2000_fire_plr,wpn_fnovember2000_fire_plr_mech,s4\weapons\fnovember2000\wpn_fnovember2000_plr_shot_07.HN.85.44100.all
wpn_fnovember2000_fire_plr,wpn_fnovember2000_fire_plr_mech,s4\weapons\fnovember2000\wpn_fnovember2000_plr_shot_08.HN.85.44100.all
wpn_fnovember2000_fire_plr,wpn_fnovember2000_fire_plr_mech,s4\weapons\fnovember2000\wpn_fnovember2000_plr_shot_09.HN.85.44100.all
wpn_fnovember2000_fire_plr,wpn_fnovember2000_fire_plr_mech,s4\weapons\fnovember2000\wpn_fnovember2000_plr_shot_10.HN.85.44100.all
