Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_fnovember2000_fire_npc,,s4\weapons\fnovember2000\wpn_fnovember2000_npc_shot_close_01.LN.85.44100.all
wpn_fnovember2000_fire_npc,,s4\weapons\fnovember2000\wpn_fnovember2000_npc_shot_close_02.LN.85.44100.all
wpn_fnovember2000_fire_npc,,s4\weapons\fnovember2000\wpn_fnovember2000_npc_shot_close_03.LN.85.44100.all
wpn_fnovember2000_fire_npc,,s4\weapons\fnovember2000\wpn_fnovember2000_npc_shot_close_04.LN.85.44100.all
wpn_fnovember2000_fire_npc,,s4\weapons\fnovember2000\wpn_fnovember2000_npc_shot_close_05.LN.85.44100.all
wpn_fnovember2000_fire_npc,,s4\weapons\fnovember2000\wpn_fnovember2000_npc_shot_close_06.LN.85.44100.all
wpn_fnovember2000_fire_npc,,s4\weapons\fnovember2000\wpn_fnovember2000_npc_shot_close_07.LN.85.44100.all
wpn_fnovember2000_fire_npc,,s4\weapons\fnovember2000\wpn_fnovember2000_npc_shot_close_08.LN.85.44100.all
wpn_fnovember2000_fire_npc,,s4\weapons\fnovember2000\wpn_fnovember2000_npc_shot_close_09.LN.85.44100.all
wpn_fnovember2000_fire_npc,,s4\weapons\fnovember2000\wpn_fnovember2000_npc_shot_close_10.LN.85.44100.all
wpn_fnovember2000_fire_npc,,s4\weapons\fnovember2000\wpn_fnovember2000_npc_shot_close_11.LN.85.44100.all
wpn_fnovember2000_fire_npc,,s4\weapons\fnovember2000\wpn_fnovember2000_npc_shot_close_12.LN.85.44100.all
wpn_fnovember2000_fire_npc_dist,,s4\weapons\stango44\wpn_stango44_npc_shot_dist_01.LN.75.44100.all
wpn_fnovember2000_fire_npc_dist,,s4\weapons\stango44\wpn_stango44_npc_shot_dist_01.LN.75.44100.all
wpn_fnovember2000_fire_npc_dist,,s4\weapons\stango44\wpn_stango44_npc_shot_dist_03.LN.75.44100.all
wpn_fnovember2000_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_dist_ext1_atmo_01.LN.85.44100.all
wpn_fnovember2000_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_dist_ext1_atmo_02.LN.85.44100.all
wpn_fnovember2000_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_dist_ext1_atmo_03.LN.85.44100.all
wpn_fnovember2000_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_dist_ext1_atmo_04.LN.85.44100.all
wpn_fnovember2000_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_dist_ext1_atmo_05.LN.85.44100.all
wpn_fnovember2000_fire_npc_dist_atmo,,weapons\atmo_npc\exterior\sniper\weap_sniper_fire_npc_dist_ext1_atmo_06.LN.85.44100.all
wpn_fnovember2000_fire_npc_dist_atmo,,weapons\atmo_npc\interior\sniper\weap_sniper_fire_npc_dist_int1_atmo_01.LN.85.44100.all
