Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_dna_plr_fire_add,wpn_wecho43_ultra_301_shot_add_tail,s4\mp\live_season\dna_gun\wpn_dna_gun_shot_01.HN.85.48000.all
wpn_dna_plr_fire_add,wpn_wecho43_ultra_301_shot_add_tail,s4\mp\live_season\dna_gun\wpn_dna_gun_shot_02.HN.85.48000.all
wpn_dna_plr_fire_add,wpn_wecho43_ultra_301_shot_add_tail,s4\mp\live_season\dna_gun\wpn_dna_gun_shot_03.HN.85.48000.all
wpn_dna_plr_fire_add,wpn_wecho43_ultra_301_shot_add_tail,s4\mp\live_season\dna_gun\wpn_dna_gun_shot_04.HN.85.48000.all
wpn_dna_plr_fire_add,wpn_wecho43_ultra_301_shot_add_tail,s4\mp\live_season\dna_gun\wpn_dna_gun_shot_05.HN.85.48000.all
wpn_dna_plr_fire_add,wpn_wecho43_ultra_301_shot_add_tail,s4\mp\live_season\dna_gun\wpn_dna_gun_shot_06.HN.85.48000.all
wpn_promeo45_fire_plr,wpn_promeo45_fire_plr_mech,s4\weapons\promeo45\wpn_promeo45_plr_shot_01.HN.85.44100.all
wpn_promeo45_fire_plr,wpn_promeo45_fire_plr_mech,s4\weapons\promeo45\wpn_promeo45_plr_shot_02.HN.85.44100.all
wpn_promeo45_fire_plr,wpn_promeo45_fire_plr_mech,s4\weapons\promeo45\wpn_promeo45_plr_shot_03.HN.85.44100.all
wpn_promeo45_fire_plr,wpn_promeo45_fire_plr_mech,s4\weapons\promeo45\wpn_promeo45_plr_shot_04.HN.85.44100.all
wpn_promeo45_fire_plr,wpn_promeo45_fire_plr_mech,s4\weapons\promeo45\wpn_promeo45_plr_shot_05.HN.85.44100.all
wpn_promeo45_fire_plr,wpn_promeo45_fire_plr_mech,s4\weapons\promeo45\wpn_promeo45_plr_shot_06.HN.85.44100.all
wpn_promeo45_fire_plr,wpn_promeo45_fire_plr_mech,s4\weapons\promeo45\wpn_promeo45_plr_shot_07.HN.85.44100.all
wpn_promeo45_fire_plr,wpn_promeo45_fire_plr_mech,s4\weapons\promeo45\wpn_promeo45_plr_shot_08.HN.85.44100.all
wpn_promeo45_fire_plr,wpn_promeo45_fire_plr_mech,s4\weapons\promeo45\wpn_promeo45_plr_shot_09.HN.85.44100.all
wpn_promeo45_fire_plr,wpn_promeo45_fire_plr_mech,s4\weapons\promeo45\wpn_promeo45_plr_shot_10.HN.85.44100.all
wpn_promeo45_fire_plr,wpn_promeo45_fire_plr_mech,s4\weapons\promeo45\wpn_promeo45_plr_shot_11.HN.85.44100.all
wpn_promeo45_fire_plr,wpn_promeo45_fire_plr_mech,s4\weapons\promeo45\wpn_promeo45_plr_shot_12.HN.85.44100.all
