Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_promeo45_451_fire_plr,wpn_promeo45_451_fire_plr_accent,s4\mp\live_season\lasers\wpn_laser_shot_main_01.HN.85.44100.all
wpn_promeo45_451_fire_plr_accent,,s4\mp\live_season\lasers\wpn_laser_shot_accent_01.HN.85.44100.all
wpn_promeo45_451_fire_plr_tail,,s4\mp\live_season\lasers\wpn_laser_shot_tail_ext_01.LN.85.44100.all
wpn_promeo45_451_fire_plr_tail,,s4\mp\live_season\lasers\wpn_laser_shot_tail_int_01.LN.85.44100.all
wpn_promeo45_451_sup_fire_plr,wpn_promeo45_451_sup_fire_plr_accent,s4\mp\live_season\lasers\wpn_laser_shot_main_01.HN.85.44100.all
wpn_promeo45_451_sup_fire_plr_accent,,s4\mp\live_season\lasers\wpn_laser_shot_accent_01.HN.85.44100.all
wpn_promeo45_451_sup_fire_plr_tail,,s4\mp\live_season\lasers\wpn_laser_shot_tail_ext_01.LN.85.44100.all
wpn_promeo45_451_sup_fire_plr_tail,,s4\mp\live_season\lasers\wpn_laser_shot_tail_int_01.LN.85.44100.all
wpn_promeo45_plr_reload_charge_empty,,s4\weapons\promeo45\wpn_promeo45_plr_reload_charge_empty.LN.75.44100.all
wpn_promeo45_plr_reload_charge_empty_dblext,,s4\weapons\promeo45\wpn_promeo45_plr_reload_charge_empty_dblext.LN.75.44100.all
wpn_promeo45_plr_reload_charge_empty_fast,,s4\weapons\promeo45\wpn_promeo45_plr_reload_charge_empty_fast.LN.75.44100.all
wpn_promeo45_plr_reload_magin_empty,,s4\weapons\promeo45\wpn_promeo45_plr_reload_magin_empty.LN.75.44100.all
wpn_promeo45_plr_reload_magin_empty_dblext,,s4\weapons\promeo45\wpn_promeo45_plr_reload_magin_empty_dblext.LN.75.44100.all
wpn_promeo45_plr_reload_magin_empty_fast,,s4\weapons\promeo45\wpn_promeo45_plr_reload_magin_empty_fast.LN.75.44100.all
wpn_promeo45_plr_reload_magin_tac,,s4\weapons\promeo45\wpn_promeo45_plr_reload_magin_tac.LN.75.44100.all
wpn_promeo45_plr_reload_magin_tac_dblext,,s4\weapons\promeo45\wpn_promeo45_plr_reload_magin_tac_dblext.LN.75.44100.all
wpn_promeo45_plr_reload_magin_tac_fast,,s4\weapons\promeo45\wpn_promeo45_plr_reload_magin_tac_fast.LN.75.44100.all
wpn_promeo45_plr_reload_magout_empty,,s4\weapons\promeo45\wpn_promeo45_plr_reload_magout_empty.LN.75.44100.all
wpn_promeo45_plr_reload_magout_empty_dblext,,s4\weapons\promeo45\wpn_promeo45_plr_reload_magout_empty_dblext.LN.75.44100.all
wpn_promeo45_plr_reload_magout_empty_fast,,s4\weapons\promeo45\wpn_promeo45_plr_reload_magout_empty_fast.LN.75.44100.all
wpn_promeo45_plr_reload_magout_tac,,s4\weapons\promeo45\wpn_promeo45_plr_reload_magout_tac.LN.75.44100.all
wpn_promeo45_plr_reload_magout_tac_dblext,,s4\weapons\promeo45\wpn_promeo45_plr_reload_magout_tac_dblext.LN.75.44100.all
wpn_promeo45_plr_reload_magout_tac_fast,,s4\weapons\promeo45\wpn_promeo45_plr_reload_magout_tac_fast.LN.75.44100.all
wpn_promeo45_ultra_inspect_1,,s4\weapons\promeo45\wpn_promeo45_ultra_inpsect_1.LN.75.44100.all
wpn_promeo45_ultra_inspect_2,,s4\weapons\promeo45\wpn_promeo45_ultra_inpsect_2.LN.75.44100.all
wpn_promeo45_ultra_inspect_3,,s4\weapons\promeo45\wpn_promeo45_ultra_inpsect_3.LN.75.44100.all
wpn_promeo45_ultra_inspect_4,,s4\weapons\promeo45\wpn_promeo45_ultra_inpsect_4.LN.75.44100.all
