Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_malpha1916_plr_fire,wpn_malpha1916_plr_fire_mech,s4\weapons\malpha16\wpn_malpha16_plr_shot_02.LN.85.44100.all
wpn_malpha1916_plr_fire,wpn_malpha1916_plr_fire_mech,s4\weapons\malpha16\wpn_malpha16_plr_shot_02.LN.85.44100.all
wpn_malpha1916_plr_fire_last,wpn_malpha1916_plr_fire_mech_last,s4\weapons\malpha16\wpn_malpha16_plr_shot_02.LN.85.44100.all
wpn_malpha1916_plr_fire_last,wpn_malpha1916_plr_fire_mech_last,s4\weapons\malpha16\wpn_malpha16_plr_shot_02.LN.85.44100.all
wpn_malpha1916_plr_fire_low,,s4\weapons\svictor40\wpn_svictor40_plr_shot_low_01.HN.100.44100.all
wpn_malpha1916_plr_fire_low,,s4\weapons\svictor40\wpn_svictor40_plr_shot_low_01.HN.100.44100.all
wpn_malpha1916_plr_fire_low_last,,s4\weapons\svictor40\wpn_svictor40_plr_shot_low_01.HN.100.44100.all
wpn_malpha1916_plr_fire_low_last,,s4\weapons\svictor40\wpn_svictor40_plr_shot_low_01.HN.100.44100.all
wpn_malpha1916_plr_fire_mech,wpn_malpha1916_plr_fire_low,s4\weapons\mech\wpn_lmg_plr_mech_a_01.HN.85.44100.all
wpn_malpha1916_plr_fire_mech,wpn_malpha1916_plr_fire_low,s4\weapons\mech\wpn_lmg_plr_mech_a_02.HN.85.44100.all
wpn_malpha1916_plr_fire_mech,wpn_malpha1916_plr_fire_low,s4\weapons\mech\wpn_lmg_plr_mech_a_03.HN.85.44100.all
wpn_malpha1916_plr_fire_mech,wpn_malpha1916_plr_fire_low,s4\weapons\mech\wpn_lmg_plr_mech_a_04.HN.85.44100.all
wpn_malpha1916_plr_fire_mech,wpn_malpha1916_plr_fire_low,s4\weapons\mech\wpn_lmg_plr_mech_a_06.HN.85.44100.all
wpn_malpha1916_plr_fire_mech,wpn_malpha1916_plr_fire_low,s4\weapons\mech\wpn_lmg_plr_mech_a_07.HN.85.44100.all
wpn_malpha1916_plr_fire_mech,wpn_malpha1916_plr_fire_low,s4\weapons\mech\wpn_lmg_plr_mech_a_08.HN.85.44100.all
wpn_malpha1916_plr_fire_mech,wpn_malpha1916_plr_fire_low,s4\weapons\mech\wpn_lmg_plr_mech_a_01.HN.85.44100.all
wpn_malpha1916_plr_fire_mech,wpn_malpha1916_plr_fire_low,s4\weapons\mech\wpn_lmg_plr_mech_a_02.HN.85.44100.all
wpn_malpha1916_plr_fire_mech,wpn_malpha1916_plr_fire_low,s4\weapons\mech\wpn_lmg_plr_mech_a_03.HN.85.44100.all
wpn_malpha1916_plr_fire_mech,wpn_malpha1916_plr_fire_low,s4\weapons\mech\wpn_lmg_plr_mech_a_04.HN.85.44100.all
