Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_kgun_fire_npc,,s4\weapons\wecho\wpn_wecho_fire_npc_close_01.LN.85.48000.all
wpn_kgun_fire_npc,,s4\weapons\wecho\wpn_wecho_fire_npc_close_02.LN.85.48000.all
wpn_kgun_fire_npc,,s4\weapons\wecho\wpn_wecho_fire_npc_close_03.LN.85.48000.all
wpn_kgun_fire_npc,,s4\weapons\wecho\wpn_wecho_fire_npc_close_04.LN.85.48000.all
wpn_kgun_fire_npc,,s4\weapons\wecho\wpn_wecho_fire_npc_close_05.LN.85.48000.all
wpn_kgun_fire_npc,,s4\weapons\wecho\wpn_wecho_fire_npc_close_06.LN.85.48000.all
wpn_kgun_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_01.LN.85.48000.all
wpn_kgun_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_02.LN.85.48000.all
wpn_kgun_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_03.LN.85.48000.all
wpn_kgun_fire_npc_far,,s4\weapons\distant\pi\wpn_pi_2_npc_dist_04.LN.85.48000.all
wpn_kgun_fire_npc_med,,s4\weapons\wecho\wpn_wecho_fire_npc_med_01.LN.85.48000.all
wpn_kgun_fire_npc_med,,s4\weapons\wecho\wpn_wecho_fire_npc_med_02.LN.85.48000.all
wpn_kgun_fire_npc_med,,s4\weapons\wecho\wpn_wecho_fire_npc_med_03.LN.85.48000.all
wpn_kgun_fire_npc_med,,s4\weapons\wecho\wpn_wecho_fire_npc_med_04.LN.85.48000.all
wpn_kgun_fire_npc_med,,s4\weapons\wecho\wpn_wecho_fire_npc_med_05.LN.85.48000.all
wpn_kgun_fire_npc_tail,,s4\weapons\wecho\wpn_wecho_plr_shot_tail_ext_01.LN.85.44100.all
wpn_kgun_fire_npc_tail,,s4\weapons\wecho\wpn_wecho_plr_shot_tail_ext_02.LN.85.44100.all
wpn_kgun_fire_npc_tail,,s4\weapons\wecho\wpn_wecho_plr_shot_tail_ext_03.LN.85.44100.all
wpn_kgun_fire_npc_tail,,s4\weapons\wecho\wpn_wecho_plr_shot_tail_ext_04.LN.85.44100.all
wpn_kgun_fire_npc_tail,,s4\weapons\wecho\wpn_wecho_plr_shot_tail_ext_05.LN.85.44100.all
wpn_kgun_fire_npc_tail,,s4\weapons\wecho\wpn_wecho_plr_shot_tail_ext_06.LN.85.44100.all
wpn_kgun_fire_npc_tail,,s4\weapons\mike1911\wpn_mike1911_plr_shot_tail_int_01.LN.85.44100.all
wpn_kgun_fire_npc_tail,,s4\weapons\mike1911\wpn_mike1911_plr_shot_tail_int_02.LN.85.44100.all
wpn_kgun_fire_npc_tail,,s4\weapons\mike1911\wpn_mike1911_plr_shot_tail_int_03.LN.85.44100.all
wpn_kgun_fire_npc_tail,,s4\weapons\mike1911\wpn_mike1911_plr_shot_tail_int_04.LN.85.44100.all
wpn_kgun_npc_reload_fpo,,s4\weapons\wecho\wpn_wecho_plr_reload_fpo.LN.75.44100.all
wpn_kgun_npc_reload_spdldr_close,,s4\weapons\kgun\wpn_kgun_plr_reload_sdpldr_close.LN.75.44100.all
wpn_kgun_npc_reload_spdldr_load,,s4\weapons\kgun\wpn_kgun_plr_reload_sdpldr_load.LN.75.44100.all
wpn_kgun_npc_reload_spdldr_open,,s4\weapons\kgun\wpn_kgun_plr_reload_sdpldr_open.LN.75.44100.all
