Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_guniform45_451_inspect_foley_1,,s4\weapons\guniform45\wpn_guniform45_451_inspect_foley_beat_1.LN.75.44100.all
wpn_guniform45_451_inspect_foley_2,,s4\weapons\guniform45\wpn_guniform45_451_inspect_foley_beat_2.LN.75.44100.all
wpn_guniform45_451_inspect_foley_3,,s4\weapons\guniform45\wpn_guniform45_451_inspect_foley_beat_3.LN.75.44100.all
wpn_guniform45_451_inspect_foley_4,,s4\weapons\guniform45\wpn_guniform45_451_inspect_foley_beat_4.LN.75.44100.all
wpn_guniform45_451_inspect_foley_5,,s4\weapons\guniform45\wpn_guniform45_451_inspect_foley_beat_5.LN.75.44100.all
wpn_guniform45_451_inspect_foley_6,,s4\weapons\guniform45\wpn_guniform45_451_inspect_foley_beat_6.LN.75.44100.all
wpn_guniform45_451_plr_fire,,s4\mp\live_season\wpn_anime_gun_shot_01.LN.85.48000.all
wpn_guniform45_451_plr_fire,,s4\mp\live_season\wpn_anime_gun_shot_02.LN.85.48000.all
wpn_guniform45_451_plr_fire,,s4\mp\live_season\wpn_anime_gun_shot_03.LN.85.48000.all
wpn_guniform45_451_plr_fire,,s4\mp\live_season\wpn_anime_gun_shot_04.LN.85.48000.all
wpn_guniform45_plr_fire,wpn_guniform45_plr_fire_mech,s4\weapons\guniform45\wpn_guniform45_plr_shot_01.LN.85.48000.all
wpn_guniform45_plr_fire,wpn_guniform45_plr_fire_mech,s4\weapons\guniform45\wpn_guniform45_plr_shot_02.LN.85.48000.all
wpn_guniform45_plr_fire,wpn_guniform45_plr_fire_mech,s4\weapons\guniform45\wpn_guniform45_plr_shot_03.LN.85.48000.all
wpn_guniform45_plr_fire,wpn_guniform45_plr_fire_mech,s4\weapons\guniform45\wpn_guniform45_plr_shot_04.LN.85.48000.all
wpn_guniform45_plr_fire,wpn_guniform45_plr_fire_mech,s4\weapons\guniform45\wpn_guniform45_plr_shot_05.LN.85.48000.all
wpn_guniform45_plr_fire,wpn_guniform45_plr_fire_mech,s4\weapons\guniform45\wpn_guniform45_plr_shot_06.LN.85.48000.all
wpn_guniform45_plr_fire,wpn_guniform45_plr_fire_mech,s4\weapons\guniform45\wpn_guniform45_plr_shot_07.LN.85.48000.all
wpn_guniform45_plr_fire,wpn_guniform45_plr_fire_mech,s4\weapons\guniform45\wpn_guniform45_plr_shot_08.LN.85.48000.all
wpn_guniform45_plr_fire,wpn_guniform45_plr_fire_mech,s4\weapons\guniform45\wpn_guniform45_plr_shot_09.LN.85.48000.all
wpn_guniform45_plr_fire,wpn_guniform45_plr_fire_mech,s4\weapons\guniform45\wpn_guniform45_plr_shot_10.LN.85.48000.all
wpn_guniform45_plr_fire,wpn_guniform45_plr_fire_mech,s4\weapons\guniform45\wpn_guniform45_plr_shot_11.LN.85.48000.all
wpn_guniform45_plr_fire,wpn_guniform45_plr_fire_mech,s4\weapons\guniform45\wpn_guniform45_plr_shot_12.LN.85.48000.all
