Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_01.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_02.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_03.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_04.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_05.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_06.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_07.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_08.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_09.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_10.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_11.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_12.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_13.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_14.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_15.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_16.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_17.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_18.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_19.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_20.HN.85.48000.all
wpn_salpha26_plr_fire,wpn_salpha26_plr_fire_mech,s4\weapons\salpha26\wpn_salpha26_plr_shot_01.HN.85.48000.all
