Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_becho_451_plr_fire,,s4\mp\live_season\wpn_anime_gun_shot_01.LN.85.48000.all
wpn_becho_451_plr_fire,,s4\mp\live_season\wpn_anime_gun_shot_02.LN.85.48000.all
wpn_becho_451_plr_fire,,s4\mp\live_season\wpn_anime_gun_shot_03.LN.85.48000.all
wpn_becho_451_plr_fire,,s4\mp\live_season\wpn_anime_gun_shot_04.LN.85.48000.all
wpn_becho_fire_plr,wpn_becho_fire_plr_low,s4\weapons\becho\wpn_becho_plr_shot_main_01.HN.85.44100.all
wpn_becho_fire_plr_low,,s4\weapons\becho\wpn_becho_plr_shot_low_01.HN.85.48000.all
wpn_becho_fire_plr_low,,s4\weapons\becho\wpn_becho_plr_shot_low_01.HN.85.48000.all
wpn_becho_fire_plr_tail,,s4\weapons\becho\wpn_becho_plr_shot_tail_ext_03.LN.75.48000.all
wpn_becho_fire_plr_tail,,s4\weapons\tails\wpn_mk_plr_shot_tail_int_01.LN.75.48000.all
wpn_becho_fire_plr_tail,,s4\weapons\tails\wpn_mk_plr_shot_tail_int_02.LN.75.48000.all
wpn_becho_fire_plr_tail,,s4\weapons\tails\wpn_mk_plr_shot_tail_int_03.LN.75.48000.all
wpn_becho_plr_reload_chamber_rotate,,s4\weapons\becho\wpn_becho_plr_reload_chamber_rotate_01.LN.75.44100.all
wpn_becho_plr_reload_chamber_rotate,,s4\weapons\becho\wpn_becho_plr_reload_chamber_rotate_02.LN.75.44100.all
wpn_becho_plr_reload_chamber_rotate,,s4\weapons\becho\wpn_becho_plr_reload_chamber_rotate_03.LN.75.44100.all
wpn_becho_plr_reload_chamber_rotate,,s4\weapons\becho\wpn_becho_plr_reload_chamber_rotate_04.LN.75.44100.all
wpn_becho_plr_reload_clear,,s4\weapons\becho\wpn_becho_plr_reload_clear.LN.75.44100.all
wpn_becho_plr_reload_clear_empty_fast,,s4\weapons\becho\wpn_becho_plr_reload_clear_empty_fast.LN.75.44100.all
wpn_becho_plr_reload_clear_ext,,s4\weapons\becho\wpn_becho_plr_reload_clear_ext.LN.75.44100.all
wpn_becho_plr_reload_clear_tac_fast,,s4\weapons\becho\wpn_becho_plr_reload_clear_tac_fast.LN.75.44100.all
wpn_becho_plr_reload_end,,s4\weapons\becho\wpn_becho_plr_reload_end.LN.75.44100.all
wpn_becho_plr_reload_end_ext,,s4\weapons\becho\wpn_becho_plr_reload_end_ext.LN.75.44100.all
wpn_becho_plr_reload_magin_empty_fast,,s4\weapons\becho\wpn_becho_plr_reload_magin_empty_fast.LN.75.44100.all
wpn_becho_plr_reload_magin_tac_fast,,s4\weapons\becho\wpn_becho_plr_reload_magin_tac_fast.LN.75.44100.all
wpn_becho_plr_reload_magout_empty_fast,,s4\weapons\becho\wpn_becho_plr_reload_magout_empty_fast.LN.75.44100.all
wpn_becho_plr_reload_magout_tac_fast,,s4\weapons\becho\wpn_becho_plr_reload_magout_tac_fast.LN.75.44100.all
wpn_becho_plr_reload_shell_insert,,s4\weapons\becho\wpn_becho_plr_reload_shell_insert_01.LN.75.44100.all
wpn_becho_plr_reload_shell_insert,,s4\weapons\becho\wpn_becho_plr_reload_shell_insert_02.LN.75.44100.all
wpn_becho_plr_reload_shell_insert,,s4\weapons\becho\wpn_becho_plr_reload_shell_insert_03.LN.75.44100.all
wpn_becho_plr_reload_shell_insert,,s4\weapons\becho\wpn_becho_plr_reload_shell_insert_04.LN.75.44100.all
wpn_becho_plr_reload_shell_insert,,s4\weapons\becho\wpn_becho_plr_reload_shell_insert_05.LN.75.44100.all
