Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_becho_451_npc_fire,,s4\mp\live_season\wpn_anime_gun_shot_01.LN.85.48000.all
wpn_becho_451_npc_fire,,s4\mp\live_season\wpn_anime_gun_shot_02.LN.85.48000.all
wpn_becho_451_npc_fire,,s4\mp\live_season\wpn_anime_gun_shot_03.LN.85.48000.all
wpn_becho_451_npc_fire,,s4\mp\live_season\wpn_anime_gun_shot_04.LN.85.48000.all
wpn_becho_fire_npc,,s4\weapons\bromeo5\wpn_bromeo5_npc_shot_close_01.LN.85.48000.all
wpn_becho_fire_npc,,s4\weapons\bromeo5\wpn_bromeo5_npc_shot_close_02.LN.85.48000.all
wpn_becho_fire_npc,,s4\weapons\bromeo5\wpn_bromeo5_npc_shot_close_03.LN.85.48000.all
wpn_becho_fire_npc,,s4\weapons\bromeo5\wpn_bromeo5_npc_shot_close_04.LN.85.48000.all
wpn_becho_fire_npc_dist,wpn_itango37_fire_npc_dist_atmo,s4\weapons\becho\wpn_becho_npc_fire_dist_01.LN.75.44100.all
wpn_becho_fire_npc_dist,wpn_itango37_fire_npc_dist_atmo,s4\weapons\becho\wpn_becho_npc_fire_dist_02.LN.75.44100.all
wpn_becho_fire_npc_dist,wpn_itango37_fire_npc_dist_atmo,s4\weapons\becho\wpn_becho_npc_fire_dist_03.LN.75.44100.all
wpn_becho_fire_npc_far,wpn_itango37_fire_npc_far_atmo,s4\weapons\becho\wpn_becho_npc_fire_far_01.LN.75.44100.all
wpn_becho_fire_npc_far,wpn_itango37_fire_npc_far_atmo,s4\weapons\becho\wpn_becho_npc_fire_far_02.LN.75.44100.all
wpn_becho_fire_npc_far,wpn_itango37_fire_npc_far_atmo,s4\weapons\becho\wpn_becho_npc_fire_far_03.LN.75.44100.all
wpn_becho_fire_npc_med,wpn_itango37_fire_npc_med_atmo,s4\weapons\becho\wpn_becho_npc_fire_med_01.LN.75.44100.all
wpn_becho_fire_npc_med,wpn_itango37_fire_npc_med_atmo,s4\weapons\becho\wpn_becho_npc_fire_med_02.LN.75.44100.all
wpn_becho_fire_npc_med,wpn_itango37_fire_npc_med_atmo,s4\weapons\becho\wpn_becho_npc_fire_med_03.LN.75.44100.all
wpn_becho_fire_npc_med_tail,,
wpn_becho_fire_npc_med_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_01.LN.85.44100.all
wpn_becho_fire_npc_med_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_02.LN.85.44100.all
wpn_becho_fire_npc_med_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_03.LN.85.44100.all
wpn_becho_fire_npc_tail,,
wpn_becho_fire_npc_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_01.LN.85.44100.all
wpn_becho_fire_npc_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_02.LN.85.44100.all
wpn_becho_fire_npc_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_03.LN.85.44100.all
wpn_becho_npc_reload_chamber_rotate,,s4\weapons\becho\wpn_becho_plr_reload_chamber_rotate_01.LN.75.44100.all
wpn_becho_npc_reload_chamber_rotate,,s4\weapons\becho\wpn_becho_plr_reload_chamber_rotate_02.LN.75.44100.all
wpn_becho_npc_reload_chamber_rotate,,s4\weapons\becho\wpn_becho_plr_reload_chamber_rotate_03.LN.75.44100.all
wpn_becho_npc_reload_chamber_rotate,,s4\weapons\becho\wpn_becho_plr_reload_chamber_rotate_04.LN.75.44100.all
wpn_becho_npc_reload_clear,,s4\weapons\becho\wpn_becho_plr_reload_clear.LN.75.44100.all
wpn_becho_npc_reload_clear_empty_fast,,s4\weapons\becho\wpn_becho_plr_reload_clear_empty_fast.LN.75.44100.all
wpn_becho_npc_reload_clear_ext,,s4\weapons\becho\wpn_becho_plr_reload_clear_ext.LN.75.44100.all
wpn_becho_npc_reload_clear_tac_fast,,s4\weapons\becho\wpn_becho_plr_reload_clear_tac_fast.LN.75.44100.all
wpn_becho_npc_reload_end,,s4\weapons\becho\wpn_becho_plr_reload_end.LN.75.44100.all
wpn_becho_npc_reload_end_ext,,s4\weapons\becho\wpn_becho_plr_reload_end_ext.LN.75.44100.all
wpn_becho_npc_reload_fpo,,s4\weapons\becho\wpn_becho_plr_reload_fpo.LN.75.44100.all
wpn_becho_npc_reload_magin_empty_fast,,s4\weapons\becho\wpn_becho_plr_reload_magin_empty_fast.LN.75.44100.all
wpn_becho_npc_reload_magin_tac_fast,,s4\weapons\becho\wpn_becho_plr_reload_magin_tac_fast.LN.75.44100.all
wpn_becho_npc_reload_magout_empty_fast,,s4\weapons\becho\wpn_becho_plr_reload_magout_empty_fast.LN.75.44100.all
wpn_becho_npc_reload_magout_tac_fast,,s4\weapons\becho\wpn_becho_plr_reload_magout_tac_fast.LN.75.44100.all
wpn_becho_npc_reload_shell_insert,,s4\weapons\becho\wpn_becho_plr_reload_shell_insert_01.LN.75.44100.all
wpn_becho_npc_reload_shell_insert,,s4\weapons\becho\wpn_becho_plr_reload_shell_insert_02.LN.75.44100.all
wpn_becho_npc_reload_shell_insert,,s4\weapons\becho\wpn_becho_plr_reload_shell_insert_03.LN.75.44100.all
wpn_becho_npc_reload_shell_insert,,s4\weapons\becho\wpn_becho_plr_reload_shell_insert_04.LN.75.44100.all
wpn_becho_npc_reload_shell_insert,,s4\weapons\becho\wpn_becho_plr_reload_shell_insert_05.LN.75.44100.all
