Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_bromeo5_plr_fire,wpn_bromeo5_plr_fire_mech,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_main_01.HN.85.44100.all
wpn_bromeo5_plr_fire,wpn_bromeo5_plr_fire_mech,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_main_02.HN.85.44100.all
wpn_bromeo5_plr_fire,wpn_bromeo5_plr_fire_mech,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_main_03.HN.85.44100.all
wpn_bromeo5_plr_fire,wpn_bromeo5_plr_fire_mech,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_main_04.HN.85.44100.all
wpn_bromeo5_plr_fire,wpn_bromeo5_plr_fire_mech,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_main_01.HN.85.44100.all
wpn_bromeo5_plr_fire,wpn_bromeo5_plr_fire_mech,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_main_02.HN.85.44100.all
wpn_bromeo5_plr_fire,wpn_bromeo5_plr_fire_mech,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_main_03.HN.85.44100.all
wpn_bromeo5_plr_fire,wpn_bromeo5_plr_fire_mech,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_main_04.HN.85.44100.all
wpn_bromeo5_plr_fire_low,,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_low_01.HN.85.48000.all
wpn_bromeo5_plr_fire_low,,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_low_01.HN.85.48000.all
wpn_bromeo5_plr_fire_mech,wpn_bromeo5_plr_fire_low,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_mech_01.HN.75.48000.all
wpn_bromeo5_plr_fire_mech,wpn_bromeo5_plr_fire_low,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_mech_02.HN.75.48000.all
wpn_bromeo5_plr_fire_mech,wpn_bromeo5_plr_fire_low,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_mech_03.HN.75.48000.all
wpn_bromeo5_plr_fire_mech,wpn_bromeo5_plr_fire_low,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_mech_04.HN.75.48000.all
wpn_bromeo5_plr_fire_mech,wpn_bromeo5_plr_fire_low,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_mech_01.HN.75.48000.all
wpn_bromeo5_plr_fire_mech,wpn_bromeo5_plr_fire_low,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_mech_02.HN.75.48000.all
wpn_bromeo5_plr_fire_mech,wpn_bromeo5_plr_fire_low,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_mech_03.HN.75.48000.all
wpn_bromeo5_plr_fire_mech,wpn_bromeo5_plr_fire_low,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_mech_04.HN.75.48000.all
wpn_bromeo5_plr_fire_tail,,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_tail_ext_01.LN.75.48000.all
wpn_bromeo5_plr_fire_tail,,s4\weapons\bromeo5\wpn_bromeo5_plr_shot_tail_ext_02.LN.75.48000.all
