Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_lindia98_plr_fire,wpn_lindia98_plr_fire_mech,s4\weapons\lindia98\wpn_lindia98_plr_shot_main_01.HN.85.44100.all
wpn_lindia98_plr_fire,wpn_lindia98_plr_fire_mech,s4\weapons\lindia98\wpn_lindia98_plr_shot_main_02.HN.85.44100.all
wpn_lindia98_plr_fire,wpn_lindia98_plr_fire_mech,s4\weapons\lindia98\wpn_lindia98_plr_shot_main_03.HN.85.44100.all
wpn_lindia98_plr_fire,wpn_lindia98_plr_fire_mech,s4\weapons\lindia98\wpn_lindia98_plr_shot_main_04.HN.85.44100.all
wpn_lindia98_plr_fire,wpn_lindia98_plr_fire_mech,s4\weapons\lindia98\wpn_lindia98_plr_shot_main_01.HN.85.44100.all
wpn_lindia98_plr_fire,wpn_lindia98_plr_fire_mech,s4\weapons\lindia98\wpn_lindia98_plr_shot_main_02.HN.85.44100.all
wpn_lindia98_plr_fire,wpn_lindia98_plr_fire_mech,s4\weapons\lindia98\wpn_lindia98_plr_shot_main_03.HN.85.44100.all
wpn_lindia98_plr_fire,wpn_lindia98_plr_fire_mech,s4\weapons\lindia98\wpn_lindia98_plr_shot_main_04.HN.85.44100.all
wpn_lindia98_plr_fire_low,,s4\weapons\lindia98\wpn_lindia98_plr_shot_low_01.HN.85.48000.all
wpn_lindia98_plr_fire_low,,s4\weapons\lindia98\wpn_lindia98_plr_shot_low_01.HN.85.48000.all
wpn_lindia98_plr_fire_mech,wpn_lindia98_plr_fire_low,s4\weapons\lindia98\wpn_lindia98_plr_shot_mech_01.HN.75.48000.all
wpn_lindia98_plr_fire_mech,wpn_lindia98_plr_fire_low,s4\weapons\lindia98\wpn_lindia98_plr_shot_mech_02.HN.75.48000.all
wpn_lindia98_plr_fire_mech,wpn_lindia98_plr_fire_low,s4\weapons\lindia98\wpn_lindia98_plr_shot_mech_03.HN.75.48000.all
wpn_lindia98_plr_fire_mech,wpn_lindia98_plr_fire_low,s4\weapons\lindia98\wpn_lindia98_plr_shot_mech_04.HN.75.48000.all
wpn_lindia98_plr_fire_mech,wpn_lindia98_plr_fire_low,s4\weapons\lindia98\wpn_lindia98_plr_shot_mech_01.HN.75.48000.all
wpn_lindia98_plr_fire_mech,wpn_lindia98_plr_fire_low,s4\weapons\lindia98\wpn_lindia98_plr_shot_mech_02.HN.75.48000.all
wpn_lindia98_plr_fire_mech,wpn_lindia98_plr_fire_low,s4\weapons\lindia98\wpn_lindia98_plr_shot_mech_03.HN.75.48000.all
wpn_lindia98_plr_fire_mech,wpn_lindia98_plr_fire_low,s4\weapons\lindia98\wpn_lindia98_plr_shot_mech_04.HN.75.48000.all
