Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_lindia98_fire_npc,,s4\weapons\lindia98\wpn_lindia98_npc_shot_close_01.LN.85.48000.all
wpn_lindia98_fire_npc,,s4\weapons\lindia98\wpn_lindia98_npc_shot_close_02.LN.85.48000.all
wpn_lindia98_fire_npc,,s4\weapons\lindia98\wpn_lindia98_npc_shot_close_03.LN.85.48000.all
wpn_lindia98_fire_npc,,s4\weapons\lindia98\wpn_lindia98_npc_shot_close_04.LN.85.48000.all
wpn_lindia98_fire_npc_dist,wpn_itango37_fire_npc_dist_atmo,s4\weapons\lindia98\wpn_lindia98_npc_shot_dist_01.LN.75.44100.all
wpn_lindia98_fire_npc_dist,wpn_itango37_fire_npc_dist_atmo,s4\weapons\lindia98\wpn_lindia98_npc_shot_dist_02.LN.75.44100.all
wpn_lindia98_fire_npc_dist,wpn_itango37_fire_npc_dist_atmo,s4\weapons\lindia98\wpn_lindia98_npc_shot_dist_03.LN.75.44100.all
wpn_lindia98_fire_npc_dist,wpn_itango37_fire_npc_dist_atmo,s4\weapons\lindia98\wpn_lindia98_npc_shot_dist_04.LN.75.44100.all
wpn_lindia98_fire_npc_far,wpn_itango37_fire_npc_far_atmo,s4\weapons\lindia98\wpn_lindia98_npc_shot_far_01.LN.75.44100.all
wpn_lindia98_fire_npc_med,wpn_itango37_fire_npc_med_atmo,s4\weapons\lindia98\wpn_lindia98_npc_shot_med_01.LN.75.44100.all
wpn_lindia98_fire_npc_med,wpn_itango37_fire_npc_med_atmo,s4\weapons\lindia98\wpn_lindia98_npc_shot_med_02.LN.75.44100.all
wpn_lindia98_fire_npc_med,wpn_itango37_fire_npc_med_atmo,s4\weapons\lindia98\wpn_lindia98_npc_shot_med_03.LN.75.44100.all
wpn_lindia98_fire_npc_med,wpn_itango37_fire_npc_med_atmo,s4\weapons\lindia98\wpn_lindia98_npc_shot_med_04.LN.75.44100.all
wpn_lindia98_fire_npc_med_tail,,
wpn_lindia98_fire_npc_med_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_01.LN.85.44100.all
wpn_lindia98_fire_npc_med_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_02.LN.85.44100.all
wpn_lindia98_fire_npc_med_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_03.LN.85.44100.all
wpn_lindia98_fire_npc_tail,,
wpn_lindia98_fire_npc_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_01.LN.85.44100.all
wpn_lindia98_fire_npc_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_02.LN.85.44100.all
wpn_lindia98_fire_npc_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_03.LN.85.44100.all
wpn_lindia98_npc_reload_close_empty,,s4\weapons\lindia98\wpn_lindia98_plr_reload_close_empty.LN.75.44100.all
wpn_lindia98_npc_reload_close_empty_akimbo_l,,s4\weapons\lindia98\wpn_lindia98_plr_reload_close_empty_akimbo_l.LN.75.44100.all
