Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_mike97_fire_npc,,s4\weapons\mike97\wpn_mike97_npc_shot_close_01.LN.85.48000.all
wpn_mike97_fire_npc,,s4\weapons\mike97\wpn_mike97_npc_shot_close_02.LN.85.48000.all
wpn_mike97_fire_npc,,s4\weapons\mike97\wpn_mike97_npc_shot_close_03.LN.85.48000.all
wpn_mike97_fire_npc_dist,wpn_itango37_fire_npc_dist_atmo,s4\weapons\becho\wpn_becho_npc_fire_dist_01.LN.75.44100.all
wpn_mike97_fire_npc_dist,wpn_itango37_fire_npc_dist_atmo,s4\weapons\becho\wpn_becho_npc_fire_dist_02.LN.75.44100.all
wpn_mike97_fire_npc_dist,wpn_itango37_fire_npc_dist_atmo,s4\weapons\becho\wpn_becho_npc_fire_dist_03.LN.75.44100.all
wpn_mike97_fire_npc_far,wpn_itango37_fire_npc_far_atmo,s4\weapons\mike97\wpn_mike97_npc_shot_far_01.LN.75.44100.all
wpn_mike97_fire_npc_far,wpn_itango37_fire_npc_far_atmo,s4\weapons\mike97\wpn_mike97_npc_shot_far_02.LN.75.44100.all
wpn_mike97_fire_npc_far,wpn_itango37_fire_npc_far_atmo,s4\weapons\mike97\wpn_mike97_npc_shot_far_03.LN.75.44100.all
wpn_mike97_fire_npc_med,wpn_itango37_fire_npc_med_atmo,s4\weapons\mike97\wpn_mike97_npc_shot_med_01.LN.75.44100.all
wpn_mike97_fire_npc_med,wpn_itango37_fire_npc_med_atmo,s4\weapons\mike97\wpn_mike97_npc_shot_med_02.LN.75.44100.all
wpn_mike97_fire_npc_med,wpn_itango37_fire_npc_med_atmo,s4\weapons\mike97\wpn_mike97_npc_shot_med_03.LN.75.44100.all
wpn_mike97_fire_npc_med_tail,,
wpn_mike97_fire_npc_med_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_01.LN.85.44100.all
wpn_mike97_fire_npc_med_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_02.LN.85.44100.all
wpn_mike97_fire_npc_med_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_03.LN.85.44100.all
wpn_mike97_fire_npc_tail,,
wpn_mike97_fire_npc_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_01.LN.85.44100.all
wpn_mike97_fire_npc_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_02.LN.85.44100.all
wpn_mike97_fire_npc_tail,,s4\weapons\tails\wpn_lmg_npc_shot_tail_int_03.LN.85.44100.all
wpn_mike97_npc_reload_chamber_empty_fast,,s4\weapons\mike97\wpn_mike97_plr_reload_chamber_empty_fast.LN.75.44100.all
wpn_mike97_npc_reload_clear_empty_fast,,s4\weapons\mike97\wpn_mike97_plr_reload_clear_empty_fast.LN.75.44100.all
wpn_mike97_npc_reload_cycle,,s4\weapons\mike97\wpn_mike97_plr_reload_cycle.LN.75.44100.all
wpn_mike97_npc_reload_empty_open,,s4\weapons\mike97\wpn_mike97_plr_reload_empty_open.LN.75.44100.all
wpn_mike97_npc_reload_empty_rechamber,,s4\weapons\mike97\wpn_mike97_plr_reload_empty_rechamber.LN.75.44100.all
wpn_mike97_npc_reload_end,,s4\weapons\mike97\wpn_mike97_plr_reload_end.LN.75.44100.all
wpn_mike97_npc_reload_fpo,,s4\weapons\mike97\wpn_mike97_plr_reload_fpo.LN.75.44100.all
wpn_mike97_npc_reload_magin_empty_ext,,s4\weapons\mike97\wpn_mike97_plr_reload_magin_empty_ext.LN.75.44100.all
wpn_mike97_npc_reload_magin_empty_fast,,s4\weapons\mike97\wpn_mike97_plr_reload_magin_empty_fast.LN.75.44100.all
wpn_mike97_npc_reload_magin_tac_ext,,s4\weapons\mike97\wpn_mike97_plr_reload_magin_tac_ext.LN.75.44100.all
wpn_mike97_npc_reload_magin_tac_fast,,s4\weapons\mike97\wpn_mike97_plr_reload_magin_tac_fast.LN.75.44100.all
wpn_mike97_npc_reload_magout_empty_ext,,s4\weapons\mike97\wpn_mike97_plr_reload_magout_empty_ext.LN.75.44100.all
wpn_mike97_npc_reload_magout_empty_fast,,s4\weapons\mike97\wpn_mike97_plr_reload_magout_empty_fast.LN.75.44100.all
wpn_mike97_npc_reload_magout_tac_ext,,s4\weapons\mike97\wpn_mike97_plr_reload_magout_tac_ext.LN.75.44100.all
wpn_mike97_npc_reload_magout_tac_fast,,s4\weapons\mike97\wpn_mike97_plr_reload_magout_tac_fast.LN.75.44100.all
wpn_mike97_npc_reload_open,,s4\weapons\mike97\wpn_mike97_plr_reload_open.LN.75.44100.all
wpn_mike97_npc_reload_rechamber_empty_ext,,s4\weapons\mike97\wpn_mike97_plr_reload_rechamber_empty_ext.LN.75.44100.all
wpn_mike97_npc_reload_shell_insert,,s4\weapons\mike97\wpn_mike97_plr_reload_shell_insert_01.LN.75.44100.all
wpn_mike97_npc_reload_shell_insert,,s4\weapons\mike97\wpn_mike97_plr_reload_shell_insert_02.LN.75.44100.all
wpn_mike97_npc_reload_shell_insert,,s4\weapons\mike97\wpn_mike97_plr_reload_shell_insert_03.LN.75.44100.all
wpn_mike97_npc_reload_shell_insert,,s4\weapons\mike97\wpn_mike97_plr_reload_shell_insert_04.LN.75.44100.all
wpn_mike97_npc_reload_shell_insert,,s4\weapons\mike97\wpn_mike97_plr_reload_shell_insert_05.LN.75.44100.all
