Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_aromeo43_cerberus_plr_inspect_A,,s4\weapons\aromeo43\wpn_aromeo43_cerberus_plr_inspect_01a.LN.75.44100.all
wpn_aromeo43_cerberus_plr_inspect_B,,s4\weapons\aromeo43\wpn_aromeo43_cerberus_plr_inspect_01b.LN.75.44100.all
wpn_aromeo43_cerberus_plr_inspect_C,,s4\weapons\aromeo43\wpn_aromeo43_cerberus_plr_inspect_01c.LN.75.44100.all
wpn_aromeo43_cerberus_plr_inspect_D,,s4\weapons\aromeo43\wpn_aromeo43_cerberus_plr_inspect_01d.LN.75.44100.all
wpn_aromeo43_cerberus_plr_inspect_E,,s4\weapons\aromeo43\wpn_aromeo43_cerberus_plr_inspect_01e.LN.75.44100.all
wpn_aromeo43_plr_fire,wpn_aromeo43_plr_fire_mech,s4\weapons\aromeo43\wpn_aromeo43_plr_shot_1.HN.85.48000.all
wpn_aromeo43_plr_fire,wpn_aromeo43_plr_fire_mech,s4\weapons\aromeo43\wpn_aromeo43_plr_shot_10.HN.85.48000.all
wpn_aromeo43_plr_fire,wpn_aromeo43_plr_fire_mech,s4\weapons\aromeo43\wpn_aromeo43_plr_shot_11.HN.85.48000.all
wpn_aromeo43_plr_fire,wpn_aromeo43_plr_fire_mech,s4\weapons\aromeo43\wpn_aromeo43_plr_shot_12.HN.85.48000.all
wpn_aromeo43_plr_fire,wpn_aromeo43_plr_fire_mech,s4\weapons\aromeo43\wpn_aromeo43_plr_shot_13.HN.85.48000.all
wpn_aromeo43_plr_fire,wpn_aromeo43_plr_fire_mech,s4\weapons\aromeo43\wpn_aromeo43_plr_shot_14.HN.85.48000.all
wpn_aromeo43_plr_fire,wpn_aromeo43_plr_fire_mech,s4\weapons\aromeo43\wpn_aromeo43_plr_shot_15.HN.85.48000.all
wpn_aromeo43_plr_fire,wpn_aromeo43_plr_fire_mech,s4\weapons\aromeo43\wpn_aromeo43_plr_shot_16.HN.85.48000.all
wpn_aromeo43_plr_fire,wpn_aromeo43_plr_fire_mech,s4\weapons\aromeo43\wpn_aromeo43_plr_shot_17.HN.85.48000.all
wpn_aromeo43_plr_fire,wpn_aromeo43_plr_fire_mech,s4\weapons\aromeo43\wpn_aromeo43_plr_shot_18.HN.85.48000.all
wpn_aromeo43_plr_fire,wpn_aromeo43_plr_fire_mech,s4\weapons\aromeo43\wpn_aromeo43_plr_shot_19.HN.85.48000.all
wpn_aromeo43_plr_fire,wpn_aromeo43_plr_fire_mech,s4\weapons\aromeo43\wpn_aromeo43_plr_shot_2.HN.85.48000.all
wpn_aromeo43_plr_fire,wpn_aromeo43_plr_fire_mech,s4\weapons\aromeo43\wpn_aromeo43_plr_shot_3.HN.85.48000.all
