Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_fromeo57_501_insp_bug_01,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_bug_01.LN.75.44100.all
wpn_fromeo57_501_insp_bug_02,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_bug_02.LN.75.44100.all
wpn_fromeo57_501_insp_foley_01,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_foley_01.LN.75.44100.all
wpn_fromeo57_501_insp_foley_02_a,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_foley_02_a_01.LN.75.44100.all
wpn_fromeo57_501_insp_foley_02_b,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_foley_02_b_01.LN.75.44100.all
wpn_fromeo57_501_insp_foley_02_c,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_foley_02_c_01.LN.75.44100.all
wpn_fromeo57_501_insp_foley_02_d,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_foley_02_d_01.LN.75.44100.all
wpn_fromeo57_501_insp_foley_03,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_foley_03.LN.75.44100.all
wpn_fromeo57_501_insp_foley_04,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_foley_04.LN.75.44100.all
wpn_fromeo57_501_insp_foley_05,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_foley_05.LN.75.44100.all
wpn_fromeo57_501_insp_slime_01,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_slime_01.LN.75.44100.all
wpn_fromeo57_501_insp_slime_02,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_slime_02.LN.75.44100.all
wpn_fromeo57_501_insp_slime_03,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_slime_03.LN.75.44100.all
wpn_fromeo57_501_insp_slime_04,,s4\mp\live_season\pestilence\wpn_fromeo57_501_insp_slime_04.LN.75.44100.all
wpn_fromeo57_fire1_last_plr_lfe,,s4\weapons\mpapa40\wpn_mpapa40_plr_shot_low.HN.100.48000.all
wpn_fromeo57_fire1_last_plr_mech,wpn_fromeo57_fire1_last_plr_lfe,s4\weapons\mpapa40\wpn_mpapa40_plr_last_mech_01.HN.85.48000.all
wpn_fromeo57_fire1_last_plr_mech,wpn_fromeo57_fire1_last_plr_lfe,s4\weapons\mpapa40\wpn_mpapa40_plr_last_mech_02.HN.85.48000.all
wpn_fromeo57_fire1_last_plr_mech,wpn_fromeo57_fire1_last_plr_lfe,s4\weapons\mpapa40\wpn_mpapa40_plr_last_mech_03.HN.85.48000.all
wpn_fromeo57_fire1_plr,wpn_fromeo57_fire1_plr_mech,s4\weapons\fromeo57\wpn_fromeo57_plr_shot_03.LN.85.44100.all
