Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_mpapa40_452_fire_plr,wpn_mpapa40_452_fire_plr_accent,s4\mp\live_season\lasers\wpn_laser_shot_main_01.HN.85.48000.all
wpn_mpapa40_452_fire_plr_accent,,s4\mp\live_season\lasers\wpn_laser_shot_accent_01.HN.85.48000.all
wpn_mpapa40_452_fire_plr_tail,,s4\mp\live_season\lasers\wpn_laser_shot_tail_ext_01.LN.85.48000.all
wpn_mpapa40_452_fire_plr_tail,,s4\mp\live_season\lasers\wpn_laser_shot_tail_int_01.LN.85.48000.all
wpn_mpapa40_452_sup_fire_plr,wpn_mpapa40_452_sup_fire_plr_accent,s4\mp\live_season\lasers\wpn_laser_shot_main_01.HN.85.48000.all
wpn_mpapa40_452_sup_fire_plr_accent,,s4\mp\live_season\lasers\wpn_laser_shot_accent_01.HN.85.48000.all
wpn_mpapa40_452_sup_fire_plr_tail,,s4\mp\live_season\lasers\wpn_laser_shot_tail_ext_01.LN.85.48000.all
wpn_mpapa40_452_sup_fire_plr_tail,,s4\mp\live_season\lasers\wpn_laser_shot_tail_int_01.LN.85.48000.all
wpn_mpapa40_plr_reload_charge_empty,,s4\weapons\mpapa40\wpn_mpapa40_plr_reload_charge_empty.LN.75.44100.all
wpn_mpapa40_plr_reload_magin_empty,,s4\weapons\mpapa40\wpn_mpapa40_plr_reload_magin_empty.LN.75.44100.all
wpn_mpapa40_plr_reload_magin_tac,,s4\weapons\mpapa40\wpn_mpapa40_plr_reload_magin_tac.LN.75.44100.all
wpn_mpapa40_plr_reload_magout_empty,,s4\weapons\mpapa40\wpn_mpapa40_plr_reload_magout_empty.LN.75.44100.all
wpn_mpapa40_plr_reload_magout_tac,,s4\weapons\mpapa40\wpn_mpapa40_plr_reload_magout_tac.LN.75.44100.all
wpn_mpapa40_plr_reload_open_empty,,s4\weapons\mpapa40\wpn_mpapa40_plr_reload_open_empty.LN.75.44100.all
