Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_mpapa40_501_space_npc_fire,wpn_mpapa40_501_space_npc_fire_space,s4\weapons\mpapa40\wpn_mpapa40_npc_shot_close_01.LN.85.48000.all
wpn_mpapa40_501_space_npc_fire,wpn_mpapa40_501_space_npc_fire_space,s4\weapons\mpapa40\wpn_mpapa40_npc_shot_close_02.LN.85.48000.all
wpn_mpapa40_501_space_npc_fire,wpn_mpapa40_501_space_npc_fire_space,s4\weapons\mpapa40\wpn_mpapa40_npc_shot_close_03.LN.85.48000.all
wpn_mpapa40_501_space_npc_fire,wpn_mpapa40_501_space_npc_fire_space,s4\weapons\mpapa40\wpn_mpapa40_npc_shot_close_04.LN.85.48000.all
wpn_mpapa40_501_space_npc_fire,wpn_mpapa40_501_space_npc_fire_space,s4\weapons\mpapa40\wpn_mpapa40_npc_shot_close_05.LN.85.48000.all
wpn_mpapa40_501_space_npc_fire,wpn_mpapa40_501_space_npc_fire_space,s4\weapons\mpapa40\wpn_mpapa40_npc_shot_close_06.LN.85.48000.all
wpn_mpapa40_501_space_npc_fire,wpn_mpapa40_501_space_npc_fire_space,s4\weapons\mpapa40\wpn_mpapa40_npc_shot_close_07.LN.85.48000.all
wpn_mpapa40_501_space_npc_fire,wpn_mpapa40_501_space_npc_fire_space,s4\weapons\mpapa40\wpn_mpapa40_npc_shot_close_08.LN.85.48000.all
wpn_mpapa40_501_space_npc_fire,wpn_mpapa40_501_space_npc_fire_space,s4\weapons\mpapa40\wpn_mpapa40_npc_shot_close_09.LN.85.48000.all
wpn_mpapa40_501_space_npc_fire,wpn_mpapa40_501_space_npc_fire_space,s4\weapons\mpapa40\wpn_mpapa40_npc_shot_close_10.LN.85.48000.all
wpn_mpapa40_501_space_npc_fire,wpn_mpapa40_501_space_npc_fire_space,s4\weapons\mpapa40\wpn_mpapa40_npc_shot_close_11.LN.85.48000.all
wpn_mpapa40_501_space_npc_fire_dist,,weapons\mpapa40\wpn_mpapa40_npc_shot_dist_01.LN.75.44100.all
wpn_mpapa40_501_space_npc_fire_dist,,weapons\mpapa40\wpn_mpapa40_npc_shot_dist_02.LN.75.44100.all
wpn_mpapa40_501_space_npc_fire_dist,,weapons\mpapa40\wpn_mpapa40_npc_shot_dist_03.LN.75.44100.all
wpn_mpapa40_501_space_npc_fire_far,wpn_mpapa40_501_space_npc_fire_far_space,s4\weapons\distant\sm\wpn_smg_2_npc_dist_01.LN.75.44100.all
wpn_mpapa40_501_space_npc_fire_far,wpn_mpapa40_501_space_npc_fire_far_space,s4\weapons\distant\sm\wpn_smg_2_npc_dist_02.LN.75.44100.all
wpn_mpapa40_501_space_npc_fire_far,wpn_mpapa40_501_space_npc_fire_far_space,s4\weapons\distant\sm\wpn_smg_2_npc_dist_03.LN.75.44100.all
wpn_mpapa40_501_space_npc_fire_far,wpn_mpapa40_501_space_npc_fire_far_space,s4\weapons\distant\sm\wpn_smg_2_npc_dist_04.LN.75.44100.all
