Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_1,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_1.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_2,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_2.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_3,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_3.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_4,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_4.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_5,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_5.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_6,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_6.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_7,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_7.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_8,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_8.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_9,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_9.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_flies,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_flies.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_long_groan,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_long_groan_1.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_sand_flow_1,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_sand_flow_1.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_sand_flow_2,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_sand_flow_2.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_sand_flow_3,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_sand_flow_3.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_sand_flow_5,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_sand_flow_5.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_sand_flow_6,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_sand_flow_6.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_sand_flow_7,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_sand_flow_7.LN.75.44100.all
wpn_owhiskey_401_plr_inspect_short_groan,,s4\weapons\owhiskey\wpn_owhiskey_401_plr_inspect_short_groan_1.LN.75.44100.all
wpn_owhiskey_mp_501_fire_plr,wpn_owhiskey_mp_501_fire_plr_mech,s4\weapons\owhiskey\wpn_owhiskey_mp_plr_shot_01.HN.85.48000.all
