Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_ppapa41_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_tail_01.LN.85.48000.all
wpn_ppapa41_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_tail_02.LN.85.48000.all
wpn_ppapa41_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_tail_03.LN.85.48000.all
wpn_ppapa41_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_tail_04.LN.85.48000.all
wpn_ppapa41_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_shot_tail_int_01.LN.85.48000.all
wpn_ppapa41_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_shot_tail_int_02.LN.85.48000.all
wpn_ppapa41_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_shot_tail_int_03.LN.85.48000.all
wpn_ppapa41_503_fire_plr_tail,,s4\weapons\emike1\wpn_emike1_plr_shot_tail_int_04.LN.85.48000.all
wpn_ppapa41_503_plr_fire,wpn_ppapa41_503_plr_fire_mech,s4\weapons\ppapa41\wpn_ppapa41_503_plr_shot_05.HN.85.48000.all
wpn_ppapa41_503_plr_fire,wpn_ppapa41_503_plr_fire_mech,s4\weapons\ppapa41\wpn_ppapa41_503_plr_shot_06.HN.85.48000.all
wpn_ppapa41_503_plr_fire,wpn_ppapa41_503_plr_fire_mech,s4\weapons\ppapa41\wpn_ppapa41_503_plr_shot_07.HN.85.48000.all
wpn_ppapa41_503_plr_fire,wpn_ppapa41_503_plr_fire_mech,s4\weapons\ppapa41\wpn_ppapa41_503_plr_shot_08.HN.85.48000.all
wpn_ppapa41_503_plr_fire,wpn_ppapa41_503_plr_fire_mech,s4\weapons\ppapa41\wpn_ppapa41_503_plr_shot_05.HN.85.48000.all
wpn_ppapa41_503_plr_fire,wpn_ppapa41_503_plr_fire_mech,s4\weapons\ppapa41\wpn_ppapa41_503_plr_shot_06.HN.85.48000.all
wpn_ppapa41_503_plr_fire,wpn_ppapa41_503_plr_fire_mech,s4\weapons\ppapa41\wpn_ppapa41_503_plr_shot_07.HN.85.48000.all
wpn_ppapa41_503_plr_fire,wpn_ppapa41_503_plr_fire_mech,s4\weapons\ppapa41\wpn_ppapa41_503_plr_shot_08.HN.85.48000.all
wpn_ppapa41_503_plr_fire_mech,,s4\weapons\mech\wpn_ar_plr_mech_a_01.HN.85.48000.all
wpn_ppapa41_503_plr_fire_mech,,s4\weapons\mech\wpn_ar_plr_mech_a_02.HN.85.48000.all
wpn_ppapa41_503_plr_fire_mech,,s4\weapons\mech\wpn_ar_plr_mech_a_03.HN.85.48000.all
wpn_ppapa41_503_plr_fire_mech,,s4\weapons\mech\wpn_ar_plr_mech_a_04.HN.85.48000.all
wpn_ppapa41_503_plr_fire_mech,,s4\weapons\mech\wpn_ar_plr_mech_a_01.HN.85.48000.all
wpn_ppapa41_503_plr_fire_mech,,s4\weapons\mech\wpn_ar_plr_mech_a_02.HN.85.48000.all
