Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_ppapa41_503_fire_npc,,s4\weapons\ppapa41\wpn_ppapa41_503_npc_shot_01.LN.85.48000.all
wpn_ppapa41_503_fire_npc,,s4\weapons\ppapa41\wpn_ppapa41_503_npc_shot_02.LN.85.48000.all
wpn_ppapa41_503_fire_npc,,s4\weapons\ppapa41\wpn_ppapa41_503_npc_shot_03.LN.85.48000.all
wpn_ppapa41_503_fire_npc,,s4\weapons\ppapa41\wpn_ppapa41_503_npc_shot_04.LN.85.48000.all
wpn_ppapa41_503_fire_npc_dist,,s4\weapons\emike1\wpn_emike1_npc_shot_far_01.LN.75.44100.all
wpn_ppapa41_503_fire_npc_dist,,s4\weapons\emike1\wpn_emike1_npc_shot_far_02.LN.75.44100.all
wpn_ppapa41_503_fire_npc_dist,,s4\weapons\emike1\wpn_emike1_npc_shot_far_03.LN.75.44100.all
wpn_ppapa41_503_fire_npc_dist,,s4\weapons\emike1\wpn_emike1_npc_shot_far_04.LN.75.44100.all
wpn_ppapa41_503_fire_npc_far,,s4\weapons\emike1\wpn_emike1_npc_shot_far_01.LN.75.44100.all
wpn_ppapa41_503_fire_npc_far,,s4\weapons\emike1\wpn_emike1_npc_shot_far_02.LN.75.44100.all
wpn_ppapa41_503_fire_npc_far,,s4\weapons\emike1\wpn_emike1_npc_shot_far_03.LN.75.44100.all
wpn_ppapa41_503_fire_npc_far,,s4\weapons\emike1\wpn_emike1_npc_shot_far_04.LN.75.44100.all
wpn_ppapa41_503_fire_npc_med,wpn_ppapa41_503_fire_npc_med_tail,s4\weapons\emike1\wpn_emike1_npc_shot_med_01.LN.75.44100.all
wpn_ppapa41_503_fire_npc_med,wpn_ppapa41_503_fire_npc_med_tail,s4\weapons\emike1\wpn_emike1_npc_shot_med_02.LN.75.44100.all
wpn_ppapa41_503_fire_npc_med,wpn_ppapa41_503_fire_npc_med_tail,s4\weapons\emike1\wpn_emike1_npc_shot_med_03.LN.75.44100.all
wpn_ppapa41_503_fire_npc_med,wpn_ppapa41_503_fire_npc_med_tail,s4\weapons\emike1\wpn_emike1_npc_shot_med_04.LN.75.44100.all
wpn_ppapa41_503_fire_npc_med_tail,,s4\weapons\emike1\wpn_emike1_plr_tail_01.LN.85.44100.all
wpn_ppapa41_503_fire_npc_med_tail,,s4\weapons\emike1\wpn_emike1_plr_tail_02.LN.85.44100.all
wpn_ppapa41_503_fire_npc_med_tail,,s4\weapons\emike1\wpn_emike1_plr_tail_03.LN.85.44100.all
wpn_ppapa41_503_fire_npc_med_tail,,s4\weapons\emike1\wpn_emike1_plr_tail_04.LN.85.44100.all
wpn_ppapa41_503_fire_npc_med_tail,,s4\weapons\emike1\wpn_emike1_npc_shot_tail_int_01.LN.85.44100.all
wpn_ppapa41_503_fire_npc_med_tail,,s4\weapons\emike1\wpn_emike1_npc_shot_tail_int_02.LN.85.44100.all
wpn_ppapa41_503_fire_npc_med_tail,,s4\weapons\emike1\wpn_emike1_npc_shot_tail_int_03.LN.85.44100.all
