Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
sm_stango5,,
wpn_ppapa41_plr_inspect_zmbgun_part_1,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_zmb_a.LN.85.48000.all
wpn_ppapa41_plr_inspect_zmbgun_part_2,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_zmb_b.LN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_01.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_02.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_03.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_04.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_05.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_06.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_07.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_08.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_01.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_02.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_03.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_04.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_05.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_06.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_07.HN.85.48000.all
wpn_stango5_plr_fire,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_main_08.HN.85.48000.all
wpn_stango5_plr_fire_first,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_first_01.LN.85.44100.all
wpn_stango5_plr_fire_first,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_first_02.LN.85.44100.all
wpn_stango5_plr_fire_first,wpn_stango5_plr_fire_mech,s4\weapons\stango5\wpn_stango5_plr_fire_first_03.LN.85.44100.all
