Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_ar_mike4_hybrid_scope_snap_closed,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_closed.LN.75.44100.all
wfoly_plr_ar_mike4_hybrid_scope_snap_open,,foley\hybrid_scope\wfoly_plr_ar_falpha_hybrid_scope_snap_open.LN.75.44100.all
wpn_smg_insp_med_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_med_a.LN.75.44100.all
wpn_smg_insp_med_b,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_med_b.LN.75.44100.all
wpn_smg_insp_shldr_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_shldr_a.LN.75.44100.all
wpn_smg_insp_sml_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_sml_a.LN.75.44100.all
wpn_smg_insp_steam_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_steam_a.LN.75.44100.all
wpn_smg_insp_steam_b,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_steam_b.LN.75.44100.all
wpn_spacehammer_hit,,s4\weapons\space_hammer\wpn_spacehammer_01.LN.85.48000.all
wpn_spacehammer_hit,,s4\weapons\space_hammer\wpn_spacehammer_02.LN.85.48000.all
wpn_spacehammer_hit,,s4\weapons\space_hammer\wpn_spacehammer_03.LN.85.48000.all
wpn_spacehammer_hit,,s4\weapons\space_hammer\wpn_spacehammer_04.LN.85.48000.all
wpn_spacehammer_miss,,s4\weapons\space_hammer\wpn_spacehammer_01.LN.85.48000.all
wpn_spacehammer_miss,,s4\weapons\space_hammer\wpn_spacehammer_02.LN.85.48000.all
wpn_spacehammer_miss,,s4\weapons\space_hammer\wpn_spacehammer_03.LN.85.48000.all
wpn_spacehammer_miss,,s4\weapons\space_hammer\wpn_spacehammer_04.LN.85.48000.all
wpn_tyankee100_plr_fire,wpn_tyankee100_plr_fire_mech,s4\weapons\tyankee100\wpn_tyankee100_plr_fire_main_01.HN.85.48000.all
wpn_tyankee100_plr_fire,wpn_tyankee100_plr_fire_mech,s4\weapons\tyankee100\wpn_tyankee100_plr_fire_main_02.HN.85.48000.all
wpn_tyankee100_plr_fire,wpn_tyankee100_plr_fire_mech,s4\weapons\tyankee100\wpn_tyankee100_plr_fire_main_03.HN.85.48000.all
wpn_tyankee100_plr_fire,wpn_tyankee100_plr_fire_mech,s4\weapons\tyankee100\wpn_tyankee100_plr_fire_main_04.HN.85.48000.all
wpn_tyankee100_plr_fire,wpn_tyankee100_plr_fire_mech,s4\weapons\tyankee100\wpn_tyankee100_plr_fire_main_05.HN.85.48000.all
wpn_tyankee100_plr_fire,wpn_tyankee100_plr_fire_mech,s4\weapons\tyankee100\wpn_tyankee100_plr_fire_main_06.HN.85.48000.all
wpn_tyankee100_plr_fire,wpn_tyankee100_plr_fire_mech,s4\weapons\tyankee100\wpn_tyankee100_plr_fire_main_07.HN.85.48000.all
