Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wpn_smg_insp_med_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_med_a.LN.75.44100.all
wpn_smg_insp_med_b,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_med_b.LN.75.44100.all
wpn_smg_insp_shldr_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_shldr_a.LN.75.44100.all
wpn_smg_insp_sml_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_sml_a.LN.75.44100.all
wpn_smg_insp_steam_a,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_steam_a.LN.75.44100.all
wpn_smg_insp_steam_b,,s4\weapons\weapon_foley\inspects_gbl\wpn_smg_insp_steam_b.LN.75.44100.all
wpn_spacehammer_hit,,s4\weapons\space_hammer\wpn_spacehammer_01.LN.85.48000.all
wpn_spacehammer_hit,,s4\weapons\space_hammer\wpn_spacehammer_02.LN.85.48000.all
wpn_spacehammer_hit,,s4\weapons\space_hammer\wpn_spacehammer_03.LN.85.48000.all
wpn_spacehammer_hit,,s4\weapons\space_hammer\wpn_spacehammer_04.LN.85.48000.all
wpn_spacehammer_miss,,s4\weapons\space_hammer\wpn_spacehammer_01.LN.85.48000.all
wpn_spacehammer_miss,,s4\weapons\space_hammer\wpn_spacehammer_02.LN.85.48000.all
wpn_spacehammer_miss,,s4\weapons\space_hammer\wpn_spacehammer_03.LN.85.48000.all
wpn_spacehammer_miss,,s4\weapons\space_hammer\wpn_spacehammer_04.LN.85.48000.all
wpn_tyankee100_npc_fire,,s4\weapons\tyankee100\wpn_tyankee100_npc_shot_close_01.LN.85.48000.all
wpn_tyankee100_npc_fire,,s4\weapons\tyankee100\wpn_tyankee100_npc_shot_close_02.LN.85.48000.all
wpn_tyankee100_npc_fire,,s4\weapons\tyankee100\wpn_tyankee100_npc_shot_close_03.LN.85.48000.all
wpn_tyankee100_npc_fire,,s4\weapons\tyankee100\wpn_tyankee100_npc_shot_close_04.LN.85.48000.all
wpn_tyankee100_npc_fire,,s4\weapons\tyankee100\wpn_tyankee100_npc_shot_close_05.LN.85.48000.all
wpn_tyankee100_npc_fire,,s4\weapons\tyankee100\wpn_tyankee100_npc_shot_close_06.LN.85.48000.all
wpn_tyankee100_npc_fire,,s4\weapons\tyankee100\wpn_tyankee100_npc_shot_close_07.LN.85.48000.all
wpn_tyankee100_npc_fire,,s4\weapons\tyankee100\wpn_tyankee100_npc_shot_close_08.LN.85.48000.all
wpn_tyankee100_npc_fire,,s4\weapons\tyankee100\wpn_tyankee100_npc_shot_close_09.LN.85.48000.all
wpn_tyankee100_npc_fire,,s4\weapons\tyankee100\wpn_tyankee100_npc_shot_close_10.LN.85.48000.all
wpn_tyankee100_npc_fire,,s4\weapons\tyankee100\wpn_tyankee100_npc_shot_close_11.LN.85.48000.all
wpn_tyankee100_npc_fire_dist,,weapons\mpapa40\wpn_mpapa40_npc_shot_dist_01.LN.75.44100.all
