Name,Secondary,File
# Note: Secondary is triggered by this alias, so a chain of secondaries are played at the same time
# Note: There are other settings that cannot be pulled, so these sounds may not sound the same as in-game without editing
wfoly_plr_sn_kilo98_drop_01,,
wfoly_plr_sn_kilo98_drop_02,,
wfoly_plr_sn_kilo98_drop_quick_01,,
wfoly_plr_sn_kilo98_raise_01,,
wfoly_plr_sn_kilo98_raise_quick_01,,
wfoly_plr_sn_kilo98_rechamber_01,,
wfoly_plr_sn_kilo98_rechamber_02,,
wfoly_plr_sn_kilo98_rechamber_03,,
wfoly_plr_sn_kilo98_rechamber_04,,
wfoly_plr_sn_kilo98_rechamber_scope_01,,
wfoly_plr_sn_kilo98_rechamber_scope_02,,
wfoly_plr_sn_kilo98_rechamber_scope_03,,
wfoly_plr_sn_kilo98_rechamber_scope_04,,
wfoly_plr_sn_kilo98_rechamber_scope_05,,
wpn_kalpha98_301_plr_bullet_impact,,s4\weapons\kalpha98\wpn_kalpha98_301_bullet_impact_01.LN.75.48000.all
wpn_kalpha98_301_plr_bullet_impact,,s4\weapons\kalpha98\wpn_kalpha98_301_bullet_impact_02.LN.75.48000.all
wpn_kalpha98_301_plr_bullet_impact,,s4\weapons\kalpha98\wpn_kalpha98_301_bullet_impact_03.LN.75.48000.all
wpn_kalpha98_301_plr_electricty_idle,,s4\weapons\kalpha98\wpn_kalpha98_301_plr_electricty_idle_01.LN.85.44100.all
wpn_kalpha98_301_plr_electricty_idle,,s4\weapons\kalpha98\wpn_kalpha98_301_plr_electricty_idle_02.LN.85.44100.all
wpn_kalpha98_301_plr_electricty_idle,,s4\weapons\kalpha98\wpn_kalpha98_301_plr_electricty_idle_03.LN.85.44100.all
wpn_kalpha98_301_plr_electricty_idle,,s4\weapons\kalpha98\wpn_kalpha98_301_plr_electricty_idle_04.LN.85.44100.all
wpn_kalpha98_301_plr_electricty_idle,,s4\weapons\kalpha98\wpn_kalpha98_301_plr_electricty_idle_05.LN.85.44100.all
wpn_kalpha98_301_plr_electricty_idle,,s4\weapons\kalpha98\wpn_kalpha98_301_plr_electricty_idle_06.LN.85.44100.all
wpn_kalpha98_301_plr_electricty_idle,,s4\weapons\kalpha98\wpn_kalpha98_301_plr_electricty_idle_07.LN.85.44100.all
wpn_kalpha98_301_plr_electricty_idle,,s4\weapons\kalpha98\wpn_kalpha98_301_plr_electricty_idle_08.LN.85.44100.all
wpn_kalpha98_301_plr_inspect_electricty_pt1,,s4\weapons\kalpha98\wpn_kalpha98_301_plr_inspect_electricty_pt1.LN.75.44100.all
wpn_kalpha98_301_plr_inspect_electricty_pt2,,s4\weapons\kalpha98\wpn_kalpha98_301_plr_inspect_electricty_pt2.LN.75.44100.all
wpn_kalpha98_301_plr_inspect_electricty_pt3,,s4\weapons\kalpha98\wpn_kalpha98_301_plr_inspect_electricty_pt3.LN.75.44100.all
wpn_kalpha98_301_plr_inspect_electricty_pt4,,s4\weapons\kalpha98\wpn_kalpha98_301_plr_inspect_electricty_pt4.LN.75.44100.all
wpn_kalpha98_301_plr_inspect_electricty_pt5,,s4\weapons\kalpha98\wpn_kalpha98_301_plr_inspect_electricty_pt5.LN.75.44100.all
